,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
179179,2012-08-31-001420,"a tsunami alert was canceled [ friday ] after a magnitude-7.6 earthquake hit off the coast of the philippines, according to the pacific tsunami warning center. the quake was revised down from 7.9, according to the u.s. geological survey. a tsunami warning had been issued in northern samar, eastern samar, leyte, southern leyte, surigao del norte, surigao del sur and residents in coastal areas were advised to evacuate to ground at least [ 33 feet ] higher than sea level, vulcanologist jane punongbayan told local radio dzmm.",mahmoud ahmadinejad,Q34448,2012-08-31 20:53:42,1,['http://slate.com/blogs/the_slatest/2012/08/31/slatest_pm_clint_s_chair_a_tsunami_scare_paul_ryan_s_running_prowess_and_more.html'],C,0.5788,['US']
203157,2012-09-01-042107,"waves not higher than half meter were also reportedly observed in pilar, surigao del norte in siargao island about 10 minutes after the earthquake,",None,,2012-09-01 02:39:09,1,['http://newkerala.com/news/newsplus/worldnews-74264.html'],C,0.5408,['IN']
10782,2017-02-20-104519,"The Philippine Red Cross will continue giving water, relief goods, medical assistance, and psychosocial support to help with the recovery and rebuilding of the communities affected by the earthquake in Surigao,",Richard Gordon,Multiple,2017-02-20 20:02:15,1,['http://reliefweb.int/report/philippines/no-letup-red-cross-relief-efforts-earthquake-ravaged-surigao'],E,0.7694,['SY']
51208,2017-02-12-045261,"This was the first time Surigao had suffered a quake this strong. The previous one occurred in the 1800s,",Martin Andanar,Q6774889,2017-02-12 07:00:53,6,"['http://sg.news.yahoo.com/aftershocks-rock-philippines-quake-city-060610017.html'
 'http://www.aljazeera.com/news/2017/02/aftershocks-rock-survivors-mindanao-surigao-170212073533316.html'
 'http://www.scmp.com/news/asia/southeast-asia/article/2070229/aftershocks-rattle-survivors-quake-hit-philippines'
 'http://www.bworldonline.com/content.php?section=Nation&title=Duterte-blasts-mining-in-Surigao-visit&id=140527'
 'http://www.freemalaysiatoday.com/category/world/2017/02/12/aftershocks-rock-philippine-quake-city-survivors/'
 'http://abs-cbnnews.com/news/02/13/17/more-aftershocks-jolt-surigao']",E,0.6866,['RP' 'MY' 'US' 'CH']
150696,2017-03-19-026958,"In the high-level meeting with Chinese officials led by Wang, Dominguez thanked China for its grant of assistance worth $91 million, which include a $1-million donation for the earthquake-hit Surigao; a $75-million grant for the construction of the Binondo-Intramuros and the Estrella-Pantaleon bridges across the Pasig river; and the ongoing $15-million financing provided under the anti-illegal drugs and law enforcement security cooperation agreement signed last year between the two countries during President Duterte's October state visit to China,",Wang Yang,Multiple,2017-03-19 12:39:13,1,['http://globalnation.inquirer.net/153543/wang-yangs-visit-ph-boost-economic-ties-china'],E,0.4377,['RP']
150829,2017-03-08-124962,"So the minister of commerce was kind enough to visit us... Right away, they handed to the finance people $100 million, and another $100 million for Surigao [ quake victims ]. Look at how they give aid, dollars, not pesos,",Rodrigo Duterte,Q457786,2017-03-08 13:12:53,2,"['http://sunstar.com.ph/manila/local-news/2017/03/08/duterte-thanks-china-loving-philippines-529869'
 'http://sunstar.com.ph/manila/local-news/2017/03/10/duterte-thanks-china-loving-philippines-529869']",E,0.5446,['RP']
28814,2017-02-15-037796,"If this senator, whose name is not worth mentioning, could prove that I have those millions in the said bank accounts, then I will give them all to the victims of the earthquake in Surigao,",Paolo Duterte,Q24851438,2017-02-15 19:05:31,1,['http://abs-cbnnews.com/news/02/16/17/paolo-duterte-ugok-senator-accusing-dad-me'],E,0.7104,['RP']
4299,2017-03-14-091197,"The PRC still has assets and personnel deployed in Surigao to provide health and welfare assistance, relief items, and potable water to the victims of the Surigao earthquake,",Richard Gordon,Multiple,2017-03-14 22:20:16,1,['http://reliefweb.int/report/philippines/philippine-red-cross-ready-big-one'],E,0.8488,['SY']
142854,2017-02-15-073925,"The doors of DSWD are open to those who want to donate to the quake victims in Surigao. With `Oplan Linog' in place, the donations can immediately reach those who are in need.",Judy Taguiwalo,Q25341910,2017-02-15 14:53:51,1,['http://www.manilatimes.net/oplan-linog-surigao-quake-victims/312472/'],E,0.7092,['RP']
47000,2017-02-13-024293,"This was the first time Surigao had suffered an earthquake this strong. The previous one occurred in the 1800s,",Martin Andanar,Q6774889,2017-02-13 00:00:00,1,['http://www.taipeitimes.com/News/world/archives/2017/02/13/2003664908'],E,0.6238,['TW']
17285,2017-03-05-003396,"At around 8 a.m. (Sunday) a magnitude 5.9 earthquake hit Surigao City. PHIVOLCS reported that this is an aftershock of the magnitude 6.7 earthquake in Surigao City which happened few weeks ago,",None,,2017-03-05 21:44:55,1,['http://reliefweb.int/report/philippines/rdna-ongoing-following-magnitude-59-quake-surigao-city'],E,0.9179,['SY']
88709,2017-07-11-075718,"Noong nagkaroon ng earthquake sa Surigao, ito iyong nakitang isa sa mga kailangan, kaya magpo-provide din tayo ng ganoon sa Ormoc at saka sa probinsya ng Leyte,",Leni Robredo,Q6761357,2017-07-11 07:00:58,1,['http://www.rappler.com/nation/175277-office-vice-president-robredo-shelter-materials-july-2017-leyte-earthquake'],E,0.8506,['RP']
12768,2019-01-08-063051,"QRCS is a key humanitarian provider in the Philippines. With its active interventions in response to the several natural disasters that hit the country over the past few years. These include 2013 Typhoon Haiyan, 2014 Typhoon Hagupit, 2017 Surigao earthquake, 2017 Typhoon Vinta, and 2018 Typhoon Mangkhut, just to name a few",None,,2019-01-08 00:31:09,1,['http://www.gulf-times.com/story/618580/QRCS-organises-education-and-WATSAN-services-in-Ph#section_178'],E,0.9257,['QA']
