,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
1671,2012-01-05-045100,"just consider the immense mobilization of the indignados and the occupy movement that struggle for the another possible world? there has never been a [ mobilization ] of this magnitude, and the mobilization began in the jungles of chiapas with the principles of inclusion and dialogue.",pablo gonzalez casanova,Q1714521,2012-01-05 10:58:47,3,"['http://counterpunch.org/2012/01/05/zapatistas-18-years-of-rebellion-and-resistance/?utm_source=rss&utm_medium=rss&utm_campaign=zapatistas-18-years-of-rebellion-and-resistance'
 'http://counterpunch.org/2012/01/05/zapatistas-18-years-of-rebellion-and-resistance/%2C%20http://www.counterpunch.org/2012/01/05/zapatistas-18-years-of-rebellion-and-resistance/'
 'http://obrag.org/?p=53060']",C,0.6046,['US']
33652,2017-09-11-086704,"saddened by the loss of life and destruction in the earthquake that struck the provinces of Oaxaca, Chiapas and Tabasco in Mexico.",António Guterres,Q311440,2017-09-11 00:00:00,2,"['http://www.un.org/apps/news/story.asp?NewsID=57487'
 'http://reliefweb.int/report/mexico/un-chief-sends-condolences-offers-help-after-earthquake-mexico']",E,0.7472,['SY']
48555,2017-09-08-103415,"The epicenter of the quake was off the coast of Chiapas, a state in southern Mexico, but the rumblings rocked the Mexican capital more than 600 miles away, causing electricity failures, and reports of sporadic damage.... Photos showed collapsed ceilings, flattened concrete buildings, and rubble from damage in southern cities such as Tuxtla Gutiérrez and Tonala.... The U.S. Tsunami Warning System said hazardous tsunami waves were possible on the Pacific coasts of Guatemala, El Salvador, Costa Rica, Nicaragua, Panama and Honduras within three hours. There was no tsunami threat for the West Coast of the United States, but the warning system said waves could reach Mexico and as far as Ecuador.",None,,2017-09-08 07:00:00,2,"['https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2017/09/08/daily-202-leading-moderate-announces-retirement-from-house-with-parting-shot-at-direction-of-gop/59b1bf4e30fb045176650bc5/?tid=pm_pop'
 'http://www.mo4ch.com/the-daily-202-leading-moderate-announces-retirement-from-house-with-parting-shot-at-direction-of-gop-washington-post/']",E,0.939,['KU' 'US']
40489,2019-05-14-004660,"Among the paleontological megafauna findings there are mammoths, giant armadillos, prehistoric horses, mastodons and rhinos. These sites boast 23 million year-old amber resin deposits, with incrustations that make it easier for paleontologists to determine the organisms this resin contains. Besides, 40 million year-old fossils from marine environments have been found in Chiapas, such as crabs, snails, shells and fish",Pedro Sanchez,Multiple,2019-05-14 20:30:51,1,['https://www.theyucatantimes.com/2019/05/maya-train-project-could-significantly-affect-paleontological-areas-inah/'],E,0.7357,['MX']
