,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
53787,2008-11-01-028834,"so many bad things have happened: hurricane katrina, the cyclone in burma, the earthquake in china. i feel like maybe the earth is trying to communicate.",narong prangcharoen,Q1563502,2008-11-01 03:38:42,2,['http://kansascity.com/238/story/868705.html'],A,0.7684,['US']
156235,2009-04-27-068207,"regime-quakes in china and burma,",naomi klein,Q236606,2009-04-27 23:35:12,1,['http://gunnyg.wordpress.com/2008/05/'],A,0.5576,['US']
155889,2009-06-09-052013,"tantamount to... by mungpi new delhi (mizzima) - the rangoon divisional court on tuesday decided to allow a second defense witness to testify in the trial against... june 9, 2009 (dvb) - the indonesian foreign minister said during a speech in the united states yesterday that us sanctions on burma are causing hardship to... the nobel laureate has spent 13 of the last 19 years in detention without trial for her non-violent promotion of democracy in burma, also known as myanmar.... thailand confirms thousands of karen villagers fleeing fighting in... by daniel schearf thailand has confirmed reports that thousands of ethnic karen villagers have fled into the country to escape fighting in neighboring burma... the knu is one of the few remaining ethnic insurgent groups in myanmar-formerly called burma - that is yet to sign a peace deal with the junta.... many of the people brought their belongings with them, and the thailand-burma border consortium, a group of non-governmental organizations providing aid to... a court in myanmar has said it will allow a second defence witness to testify in the trial of aung san suu kyi, the country's detained opposition leader.... myanmar: japanese earthquake survivors help victims of cyclone nargis a third of the health centres destroyed by the cyclone still need to be rebuilt,",aung san suu kyi,Q36740,2009-06-09 18:44:47,1,['http://saveburma.wordpress.com/2009/06/09/world-focus-on-burma-9-june-2009/'],A,0.5563,['US']
72550,2009-04-29-114008,"the earthquake in china or the cyclone in burma have much to do with environmental factors,",None,,2009-04-29 14:20:10,1,['http://thelangarhall.com/archives/category/gurbani'],A,0.5131,
155615,2009-04-27-095882,"two of the most repressive regimes on the planet-china and burma-struggle to respond to devastating disasters: the sichuan earthquake and cyclone nargis. in both cases, the disasters have exposed grave political weaknesses within the regimes-and both crises have the potential to ignite levels of public rage that would be difficult to control.",naomi klein,Q236606,2009-04-27 23:35:12,1,['http://gunnyg.wordpress.com/2008/05/'],A,0.5863,['US']
202342,2009-04-15-033615,"in disasters like this, it takes time-sometimes a few days - to get a full sense of the need. there are differences too. italy's earthquake is on a smaller scale than china's last year, and italy has a lot of capacity within the country to respond to disasters. that's why unlike china or burma, international support in the form of relief teams or supplies has not been requested.",david darg,Q22075554,2009-04-15 05:47:00,1,['http://crosswalk.com/news/religiontoday/11602234/'],A,0.5463,['US']
111560,2010-03-28-025794,"in may 2008, a cyclone in burma and an earthquake in china, together claimed around 200,000 lives. traffic accidents across the world claim the same number of lives every month,",andrew pearce,Multiple,2010-03-28 16:53:44,3,"['http://gulfnews.com/news/gulf/uae/traffic-transport/abu-dhabi-traffic-safety-conference-focuses-on-dangers-of-speeding-1.604499?localLinksEnabled=false&utm_source=Feeds&utm_medium=RSS&utm_term=Most_viewed_RSS_&utm_content=1.604499&utm_campaign=Abu_Dhabi_traffic_safety_conference_focuses_on_dangers_of_speeding'
 'http://gulfnews.com/news/gulf/uae/traffic-transport/being-hit-by-a-70km-h-car-like-facing-40-bullets-expert-says-1.604499?localLinksEnabled=false'
 'http://gulfnews.com/news/gulf/uae/traffic-transport/abu-dhabi-traffic-safety-conference-focuses-on-dangers-of-speeding-1.604499?localLinksEnabled=false']",A,0.5408,['AE']
42053,2011-04-16-017668,"if the convention passes in its current form, any u.s. military ship would be technically not able to get involved in a peacekeeping operation, in providing disaster relief or humanitarian assistance as we're doing right now in the aftermath of the earthquake in china and the typhoon in burma, and not to mention everything that we did in southeast asia after the tsunami in december of 2004. and that's because most u.s. military units have in their inventory these kinds of weapons.",stephen mull,Q7610057,2011-04-16 02:12:39,1,['http://opednews.com/articles/Channeling-Rumsfeld-Bush-C-by-Mac-McKinney-110415-600.html'],C,0.7851,['US']
141723,2011-06-10-043635,"kiwi's are very compassionate, if they know something wrong is happening they will do what they can about it. i was astonished when i heard about this especially about the burma government locking zaraganar away for using comedy to speak out about the burmese government trying to stop aid getting to its people after cyclone nargis, can you imagine what would happen in new zealand if our government tried anything like that after the christchurch earthquake, it is outrageous! iam flying down to the wellington screening on monday and i hope everyone else will support it to",lisa chappell,Q237790,2011-06-10 15:45:55,3,"['http://auckland.scoop.co.nz/2011/06/charity-film-screening-in-wellington/'
 'http://wellington.scoop.co.nz/?p=35517'
 'http://scoop.co.nz/stories/CU1106/S00139/charity-film-screening-in-wellington.htm']",C,0.1652,['NZ']
210933,2011-06-13-037093,"kiwis are very compassionate, if they know something wrong is happening they will do what they can about it. i was astonished when i heard about this especially about the burma government locking zarganar away for using comedy to speak out about the burmese government trying to stop aid getting to its people after cyclone nargis. can you imagine what would happen in new zealand if our government tried anything like that after the christchurch earthquake, it is outrageous! i am flying down to the wellington screening on monday and i hope everyone else will support it too.",woody harrelson,Q201279,2011-06-13 17:04:39,2,"['http://wellington.scoop.co.nz/?p=35593'
 'http://scoop.co.nz/stories/CU1106/S00182/images-celebs-politicians-at-film-for-burmese-comedian.htm']",C,0.1913,['NZ']
