,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
116933,2010-04-18-058786,"this time the location of the earthquake, kyigudo (chinese: yushu), lies in qinghai province, which happens to be where both the late panchen lama and i were born. to fulfill the wishes of many of the people there, i am eager to go there myself to offer them comfort,",None,,2010-04-18 04:16:45,4,"['http://littleabout.com/news/92697,qinghai-quake-china-engage-dalai-lama-comment.html'
 'http://india-server.com/news/qinghai-quake-china-should-now-directly-24697.html'
 'http://twocircles.net/2010apr18/qinghai_quake_china_should_now_directly_engage_dalai_lama.html'
 'http://newkerala.com/news/fullnews-91679.html']",A,0.5165,['IN']
179258,2010-04-17-051205,"the tibetan plateau is quake-prone but casualties there are usually low in number because few people live across the vast lands. but this tremor struck near the town of jiegu, the seat of yushu county.",sim chi yin,Q55314914,2010-04-17 01:43:12,1,['http://wanderingchina.wordpress.com/'],A,0.5404,['US']
94022,2010-04-14-089526,"there was in this image made from cctv news program footage, rescue workers are shown at the site of a collapsed building after an earthquake in yushu county in western china's qinghai province on wednesday, april 14, 2010. ((ap photo/cctv)) a lot of panic. people were crying on the streets. some of our staff, who were reunited with their parents, were also in tears.",ren yu,Multiple,2010-04-14 12:39:28,2,"['http://denverpost.com/frontpage/ci_14879795?source=rss'
 'http://denverpost.com/breakingnews/ci_14879795?source=rss']",A,0.78,['US']
15869,2010-04-19-075672,"the location of the earthquake, kyigudo (chinese: yushu), lies in qinghai province, which happens to be where both the late panchen lama and i were born,",14th dalai lama,Q17293,2010-04-19 19:29:42,1,['http://ens-newswire.com/ens/apr2010/2010-04-19-01.html'],A,0.8266,['US']
97459,2010-08-18-082854,"the wenchuan and yushu earthquakes caused heavy casualties, so i thought the most serious thing i could do was to invent something to reduce the toll in lives,",wang wenxi,Multiple,2010-08-18 09:15:00,6,"['http://emirates247.com/offbeat/this-is-life/chinese-man-designs-quake-proof-bed-2010-08-18-1.280764'
 'http://timesofindia.indiatimes.com/world/china/Chinese-man-gets-patent-for-quake-proof-bed/articleshow/6331791.cms'
 'http://news.yahoo.com/s/afp/20100818/od_afp/chinaquakesafetyoffbeat'
 'http://abs-cbnnews.com/lifestyle/classified-odd/08/18/10/chinese-man-awarded-patent-quake-proof-bed'
 'http://taipeitimes.com/News/world/archives/2010/08/19/2003480698'
 'http://forum.santabanta.com/showthread.htm?t=201909']",C,0.6981,['IN' 'RP' 'TW' 'US' 'AE']
177804,2011-04-08-047768,"like everyone else, i was just glued to the tv (following the quake). at first i was a little selfish, paying particular attention to the island of kyushu where my family is from",david tsubouchi,Q399006,2011-04-08 19:04:54,2,"['http://yorkregion.com/news/news/article/978614'
 'http://yorkregion.com/news/news/article/978752']",C,0.7156,['CA']
164725,2011-03-22-031949,"if you are only following the way western media is reporting on the current situation in japan regarding the earthquake, one might get the impression that the entire japan is collapsing, or melting down, or falling. but that is not the reality. the western part of japan, kyushu, is not affected.",yukio edano,Q732087,2011-03-22 12:37:40,1,['http://channelnewsasia.com/stories/eastasia/view/1118133/1/.html'],C,0.5202,['US']
100135,2011-01-26-003382,"although the authorities recognize yushu as a `tibetan autonomous' area, they are excluding tibetan involvement in this reconstruction of a new city that is now being given a chinese name. this contravenes their own `ethnic autonomy' laws and creates further distress among those already devastated by loss and dispossession. there is also a danger that historic tibetan buildings that survived the quake may now be razed in the reconstruction.",mike mcmahon,Multiple,2011-01-26 13:47:48,1,['http://yubanet.com/world/Chinese-authorities-rename-and-rebuild-quake-struck-Tibetan-area.php'],C,0.7306,['US']
24026,2011-03-16-052682,"news that the earthquake has disrupted the supply chain for production bases in kyushu, a long way from the tohoku region, will probably come as a bit of a surprise, but this shows the potential for similar disruption at other companies,",None,,2011-03-16 11:19:08,12,"['http://reuters.com/article/2011/03/16/us-japan-quake-supplychain-idUSTRE72E11Q20110316?feedType=RSS&feedName=businessNews&rpc=23&sp=true'
 'http://us.rd.yahoo.com/dailynews/rss/business/*http://news.yahoo.com/s/nm/20110316/bs_nm/us_japan_quake_supplychain'
 'http://us.rd.yahoo.com/dailynews/rss/tech/*http://news.yahoo.com/s/nm/20110316/bs_nm/us_japan_quake_supplychain'
 'http://ca.biz.yahoo.com/rb/110316/tech_us_japan_quake_supplychain.html?.v=1'
 'http://publicbroadcasting.net/wuky/news.newsmain/article/0/0/1776106/Business/Telecom.gear.makers.to.feel.Japan.supply.squeeze'
 'http://whnt.com/business/sns-rt-tech-us-japan-quake-tre72e11q-20110315,0,3213502.story'
 'http://us.rd.yahoo.com/dailynews/rss/world/*http://news.yahoo.com/s/nm/20110316/tc_nm/us_japan_quake_companies'
 'http://ibtimes.com/articles/123430/20110316/japan-electronics-sector-faces-extended-supply-woes.htm'
 'http://ITBusinessNet.com/articles/viewarticle.jsp?id=1402989'
 'http://consumerelectronicsnet.com/articles/viewarticle.jsp?id=1402871'
 'http://consumerelectronicsnet.com/articles/viewarticle.jsp?id=1403293'
 'http://ca.biz.yahoo.com/rb/110316/tech_us_japan_quake_supplychain.html?.v=5']",C,0.3184,['US']
77230,2011-01-26-039251,"in light of the post-quake rebuilding work and qinghai's urbanization drive, we will build yushu county into a city with a new temporary name of sanjiangyuan [ the three river sources ].",luo huining,Q1652530,2011-01-26 13:47:48,2,"['http://yubanet.com/world/Chinese-authorities-rename-and-rebuild-quake-struck-Tibetan-area.php'
 'http://phayul.com/news/article.aspx?id=29010']",C,0.5525,['US' 'CH']
