,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
167663,2009-04-29-096126,pope visits quake-hit area in central italy,None,,2009-04-29 10:30:45,9,"['http://kwqc.com/Global/story.asp?S=10260953'
 'http://fox4now.com/Global/story.asp?S=10260953'
 'http://waff.com/Global/story.asp?S=10260953'
 'http://katc.com/Global/story.asp?S=10260953'
 'http://wbay.com/global/story.asp?s=10260953'
 'http://kionrightnow.com/Global/story.asp?S=10260953'
 'http://krdo.com/Global/story.asp?S=10260953'
 'http://nbc26.com/Global/story.asp?S=10260953'
 'http://ktvz.com/Global/story.asp?S=10260953']",A,0.5182,['US']
171297,2009-04-12-048191,"the quake was in central italy, near rome, and it didn't reach up here to the northern regions of the country where i live. it's tough to see people go through something like that. i wish them the best and hope they can make a good recovery.",ben spies,Q468424,2009-04-12 00:42:33,1,['http://roadracingworld.com/news/article/?lnk=rss&article=36122'],A,0.7189,['US']
25758,2009-04-29-096125,pope to visit quake-hit area in central italy,pope benedict xvi,Q2494,2009-04-29 08:37:52,8,"['http://wbay.com/global/story.asp?s=10260820'
 'http://katc.com/Global/story.asp?S=10260820'
 'http://fox4now.com/Global/story.asp?S=10260820'
 'http://kionrightnow.com/Global/story.asp?S=10260820'
 'http://krdo.com/Global/story.asp?S=10260820'
 'http://nbc26.com/Global/story.asp?S=10260820'
 'http://ktvz.com/Global/story.asp?S=10260820'
 'http://kwqc.com/Global/story.asp?S=10260820']",A,0.5179,['US']
28879,2009-04-19-034620,"just to remind you, there are five cars running in china as a mark of respect for the victims of the earthquake which hit central italy this month. jarno trulli has dropped a sponsor on his toyota racesuit and replaced it with the logo to build support for the affected abruzzo region, where he was raised. both ferrari and toro rosso cars are also carrying a slogan of support. trulli is aiming to raise enough fund to rebuild a school, you can find out more at www.abruzzonelcuore.org",robert kubica,Q160359,2009-04-19 07:23:00,1,['http://feeds.bbc.co.uk/go/homepage/i/int/sport/top1/-/news/sport1/hi/motorsport/formula_one/8005641.stm'],A,0.3928,['UK']
185027,2009-04-11-030258,"talking to strangers can be good for you ™ fact: each year, one million american teenagers become pregnant, and 78% of these pregnancies are unintended. mor · ons | the leaked audition tapes for the mormon-backed anti-gay marriage commercials this good friday, it's sebastian horsley that's getting crucified somali pirates seize another boat a tug with 16 people on board is hijacked in the gulf of aden, as a standoff continues over a us captain taken hostage. key nations `agree n korea draft' key countries agree a draft statement on north korea's rocket launch, diplomats at the un say. pakistan pledges uk terror help pakistan asks for information on 11 pakistanis arrested in connection with a uk terror plot but has not received any details. italy town launches quake probe officials in central italy examine allegations that poor building work worsened the damage caused by monday's earthquake. mister anonymous ® ms. colleen is starting to creep me out... `her dress was split to the frontiers of decency and was so tight you could see what she was thinking",sebastian horsley,Q373468,2009-04-11 21:59:28,1,['http://anonymousradioshow.wordpress.com/2009/04/11/6573/'],A,0.5494,['US']
12944,2012-05-21-011408,"earthquake was the strongest to occur in italy since the magnitude 6.3 l'aquila earthquake that struck central italy in 2009. today's event occurred in an area of generally low seismicity and using currently available information, early indications are that insured losses will not be significant given the low residential take-up rates and the relatively rural nature of the epicentral region.",san felice,Q36557156,2012-05-21 10:26:04,2,['http://insurancejournal.com/news/international/2012/05/21/248275.htm'],C,0.5297,['US']
23368,2012-10-26-012415,"defying assertions that earthquakes cannot be predicted, an italian court on monday convicted seven scientists and experts of manslaughter for failing to adequately warn residents before a temblor struck central italy in 2009 and killed more than 300 people.",david ropeik,Q5239200,2012-10-26 00:04:32,1,['http://huffingtonpost.com/paul-raeburn/italian-scientists-convic_b_2006864.html?utm_hp_ref=green&ir=Green'],C,0.5333,['US']
222112,2012-08-03-003040,"ancient and medieval earthquakes in the area of l'aquila (northwestern abruzzo, central italy), a.d. 1-1500: a critical revision of the historical and archaeological data",emanuela guidoboni,Q3051978,2012-08-03 04:00:00,2,"['http://eurekalert.org/pub_releases/2012-08/ssoa-ars080312.php'
 'http://phys.org/news263218321.html']",C,0.3767,['US']
153899,2012-05-29-074620,"was felt across much of northern and central italy. aftershocks were felt in italy's industrial capital, milan.",sylvia poggioli,Q7660987,2012-05-29 12:05:00,19,"['http://npr.org/blogs/thetwo-way/2012/05/29/153906031/italy-rocked-by-second-deadly-quake?ft=1&f=1001'
 'http://wnyc.org/npr_articles/2012/may/29/italy-rocked-by-second-deadly-quake/'
 'http://kalw.org/post/italy-rocked-second-deadly-quake'
 'http://kbia.org/post/italy-rocked-second-deadly-quake'
 'http://kios.org/post/italy-rocked-second-deadly-quake'
 'http://krwg.org/post/italy-rocked-second-deadly-quake'
 'http://kunc.org/post/italy-rocked-second-deadly-quake'
 'http://kunm.org/post/italy-rocked-second-deadly-quake'
 'http://nhpr.org/post/italy-rocked-second-deadly-quake'
 'http://upr.org/post/italy-rocked-second-deadly-quake'
 'http://wesm913.org/post/italy-rocked-second-deadly-quake'
 'http://wkar.org/post/italy-rocked-second-deadly-quake'
 'http://wncw.org/post/italy-rocked-second-deadly-quake'
 'http://wyomingpublicmedia.org/post/italy-rocked-second-deadly-quake'
 'http://gpb.org/news/2012/05/29/italy-rocked-by-second-deadly-quake'
 'http://wfae.org/wfae/nprnews.cfm?storyId=153906031'
 'http://kosu.org/2012/05/italy-rocked-by-second-deadly-quake/'
 'http://wknofm.org/post/italy-rocked-second-deadly-quake'
 'http://wypr.org/news/italy-rocked-second-deadly-quake']",C,0.6488,['US']
66162,2016-08-24-109102,The quake has been felt throughout the whole of central Italy -- even in the Adriatic sea.,None,,2016-08-24 02:25:00,1,['http://www.dailystar.co.uk/news/latest-news/540298/Perugia-earthquake-italy-video-rome-magnitude-terremoto-roma'],E,0.6064,['UK']
15883,2016-08-24-034258,"However on hearing of the news of the earthquake that has struck central Italy, and which has devastated entire areas and left many wounded, I cannot fail to express my heartfelt sorrow and spiritual closeness to all those present in the zones afflicted.",Pope Francis,Q450675,2016-08-24 16:14:52,2,"['http://www.huffingtonpost.com/2016/08/24/pope-leads-thousands-in-praying-the-rosary-for-italy-earthquake-victims_n_11683854.html'
 'http://www.huffingtonpost.com/2016/08/24/pope-leads-thousands-in-praying-the-rosary-for-italy-earthquake-victims_n_11683854.html?utm_hp_ref=world&ir=World']",E,0.755,['US']
2407,2016-08-24-138690,"We want to be as close as possible to the victims of this earthquake. I come from central Italy and I feel this tragedy even more,",Eusebio Di Francesco,Q396154,2016-08-24 18:42:00,2,"['http://uefa.com/uefaeuropaleague/news/newsid=2398641.html'
 'http://www.skysports.com/football/news/12040/10551331/italian-football-to-mourn-earthquake-victims']",E,0.9165,['SP' 'UK']
19886,2016-08-24-026085,"Fund 597 Earthquake in Central Italy,",Matteo Renzi,Multiple,2016-08-24 13:25:56,3,"['http://ibtimes.com/how-help-italy-earthquake-victims-8-ways-donate-blood-money-goods-relief-2406448'
 'http://www.inquisitr.com/3451064/italy-earthquake-victims-how-to-help-them-wherever-you-are/'
 'http://www.her.ie/news/italy-earthquake-causes-widespread-devastatio-left-247-people-dead/308657']",E,0.8855,['US' 'EI']
111366,2016-08-25-047639,"I was deeply saddened to learn about the disastrous earthquake that hit central Italy. Allow me to convey to the Government and the people of Italy, as well as to the bereaved families, our most sincere condolences and to all those injured and affected by the catastrophe a speedy recovery. As it has already been conveyed to the Ministry of Foreign Affairs of Italy, the Government of Cyprus stands ready to assist in anyway necessary in handling the consequences of the earthquake.",None,,2016-08-25 18:43:49,1,['http://in-cyprus.com/anastasiades-sends-message-of-condolence-to-italy/'],E,0.4458,['CY']
