,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
221807,2011-09-20-051472,my love and prayers to all the victims of the sikkim earthquake. may you all find strength to recover from this horrific incident.,shruti seth,Q3765263,2011-09-20 03:20:01,2,"['http://entertainment.in.msn.com/bollywood/news/article.aspx?cp-documentid=5453308'
 'http://ibnlive.in.com/news/big-b-mourns-the-loss-in-sikkim-earthquake/185814-8-66.html']",C,0.3325,['US' 'IN']
78651,2011-09-21-019136,"gangtok was not as badly affected as mangan, the epicentre of the earthquake or the rest of north sikkim, and normalcy is returning. communication with other places and states has been restored as have telecommunication and electricity,",mahendra p. lama,Q6733757,2011-09-21 11:50:04,2,"['http://ummid.com/news/2011/September/21.09.2011/students_help_quake_hit_sikkim.htm'
 'http://twocircles.net/2011sep21/teachers_students_lend_succour_quakehit_sikkim.html']",C,0.7541,['IN']
17682,2011-09-19-003182,"an earthquake in sikkim! many regions feel the shake, right across the eastern region and up beyond bihar... pray all is well! horrid floods in orissa! earthquakes all over the country! the elements are annoyed with us... prayers for all to be safe.",amitabh bachchan,Q9570,2011-09-19 13:17:01,1,['http://hollywood.com/news/Stars_reacts_to_Indian_earthquake_disaster/7841237'],C,0.6482,['US']
20009,2011-09-21-026480,i am very sad to hear about the deaths and damage caused by the quake. sikkim is like a second home for me.,renedy singh,Q957005,2011-09-21 22:53:32,1,['http://telegraphindia.com/1110922/jsp/siliguri/story_14537646.jsp'],C,0.5007,['IN']
209184,2011-10-11-002176,"after the latest earthquake that was centred in its north eastern state of sikkim, india won't do that.",mashiur rahman,Multiple,2011-10-11 18:00:00,1,['http://thefinancialexpress-bd.com/more.php?news_id=152619&date=2011-10-12'],C,0.6859,['BG']
3858,2011-09-21-026504,"i appeal to the people of india to come forward and help the victims of earthquake in sikkim. schools and hospitals have been destroyed and many victims are still trapped in the debris. people have lost their livelihoods,",bhaichung bhutia,Q333448,2011-09-21 09:54:39,2,"['http://twocircles.net/2011sep21/help_quakehit_sikkim_bhutia_tells_all_indians.html'
 'http://newkerala.com/news/2011/worldnews-71786.html']",C,0.792,['IN']
99616,2011-09-20-040078,it is a happy news that all the players of united sikkim are safe and we hope to do our bit to help the quake victims.,bhaichung bhutia,Q333448,2011-09-20 13:54:54,3,"['http://newkerala.com/news/2011/worldnews-71176.html'
 'http://twocircles.net/2011sep20/footballers_planning_fundraiser_quake_victims.html'
 'http://gulfnews.com/sport/football/footballers-planning-india-quake-fund-raiser-1.870645?localLinksEnabled=false&utm_source=Feeds&utm_medium=RSS&utm_term=Sport_RSS_feed&utm_content=1.870645&utm_campaign=Footballers_planning_India_quake_fund-raiser']",C,0.5071,['IN' 'AE']
30961,2011-09-20-051397,my heart is with all victims of the sikkim quake. but why have media have forgotten about devastating orissa floods so soon?,karan johar,Q468442,2011-09-20 03:20:01,2,"['http://entertainment.in.msn.com/bollywood/news/article.aspx?cp-documentid=5453308'
 'http://ibnlive.in.com/news/big-b-mourns-the-loss-in-sikkim-earthquake/185814-8-66.html']",C,0.2781,['US' 'IN']
189116,2011-09-29-077474,"the prime minister announced a rs.1,000 crore package to sikkim and also assured all help and cooperation from the central government to fight the tragedy and devastation caused by the earthquake,",manmohan singh,Multiple,2011-09-29 08:30:03,6,"['http://prokerala.com/news/articles/a250282.html'
 'http://news.worldsnap.com/india/manmohan-announces-rs-1000-crore-for-quake-hit-sikkim-110885.html'
 'http://dailypioneer.com/pioneer-news/top-story/9933-manmohan-announces-rs1000-crore-for-quake-hit-sikkim-.html'
 'http://deccanchronicle.com/channels/nation/northeast/manmohan-announces-rs1000-crore-quake-hit-sikkim-202'
 'http://sify.com/news/manmohan-announces-rs-1-000-crore-for-quake-hit-sikkim-news-national-lj3ol4jaifa.html'
 'http://daijiworld.com/news/news_disp.asp?n_id=117484']",C,0.5428,['IN']
117426,2011-09-22-100807,"we have decided to donate rs five crore from cm relief fund to sikkim cm relief fund for helping the quake-hit victims in sikkim,",nitish kumar,Multiple,2011-09-22 10:26:34,1,['http://dnaindia.com/india/report_sikkim-quake-nitish-kumar-to-donate-rs5-crore-to-quake-hit-victims_1590245'],C,0.7461,['IN']
175445,2011-09-19-058240,staff from the british embassy stand on the top of a wall that collapsed during the 6.8 magnitude earthquake that struck sikkim and nepal,ajit kumar,Multiple,2011-09-19 09:01:11,2,"['http://news.rediff.com/slide-show/2011/sep/19/slide-show-1-sikkim-quake-toll-rises-to-40-releif-ops-hit-by-landslides.htm'
 'http://rediff.com/news/slide-show/slide-show-1-sikkim-quake-toll-rises-to-40-releif-ops-hit-by-landslides/20110919.htm']",C,0.3778,['IN']
227012,2011-09-21-085667,"there was something unnatural. it was raining for 30 hours non-stop before the earthquake in darjeeling and sikkim. on an average, these two places get about 388 mm of rainfall in september, but this time they received 236 mm rainfall, or 61 percent of the total rain, in just five days,",mahendra p. lama,Q6733757,2011-09-21 11:50:04,2,"['http://ummid.com/news/2011/September/21.09.2011/students_help_quake_hit_sikkim.htm'
 'http://twocircles.net/2011sep21/teachers_students_lend_succour_quakehit_sikkim.html']",C,0.7222,['IN']
172839,2011-10-11-064549,"the armed forces have played a stellar role in safeguarding our borders, in fighting terrorism and infiltration in jammu and kashmir, insurgencies in the north-east, pirates in the indian ocean and aiding civil authority in sikkim during the recent earthquake.",jagjit singh,Multiple,2011-10-11 11:35:51,1,['http://newkerala.com/news/2011/worldnews-85193.html'],C,0.6948,['IN']
190646,2011-10-02-006012,"congress seems to be using him (rahul) just for photo-ops, such as flying to quake-hit sikkim or addressing college-goers who swoon over his dimples. it seems they have realised that every time he opens his mouth, he gets found out!",rahul gandhi,Q10218,2011-10-02 16:14:27,1,['http://thehindubusinessline.com/opinion/columns/article2506752.ece'],C,0.6754,['IN']
