,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
65643,2008-12-17-055686,"this seismic program is a milestone in ecuador's strong commitment for expansion of available offshore natural resources and scan is honored to be a part of this historic event,",kjell karlsson,Multiple,2008-12-17 13:21:55,1,['http://oilvoice.com/n/SCAN_Geophysical_Signs_2D_Seismic_Contract_With_Ecuadors_PETROPRODUCCION/729b14b3.aspx'],A,0.5625,['US']
1823,2008-11-11-053389,"this seismic programme is a milestone in ecuador's strong commitment for expansion of available offshore natural resources and scan is honored to be a part of this historic event,",kjell karlsson,Multiple,2008-11-11 14:45:59,1,['http://oilvoice.com/n/SCAN_Geophysical_Awarded_Ground_Breaking_2D_Seismic_Survey_Offshore_Ecuador/adbd8189.aspx'],A,0.575,['US']
135230,2010-03-03-059024,"massive earthquake strikes chile 27 feb 2010 a massive earthquake with an initial magnitude of 8.8 has struck central chile. the quake struck at 0634 gmt about 91km (56 miles) north-east of the city of concepcion and 317km south-west of the capital, santiago. buildings in santiago were reported to have shaken for between 10 and 30 seconds, with the loss of electricity and communications. the us issued an initial tsunami warning for chile, peru and ecuador. that was later extended to colombia, antarctica, panama and costa rica. [ haarp ]",michel chossudovsky,Q731787,2010-03-03 11:11:18,1,['http://defence.pk/forums/strategic-geopolitical-issues/48777-us-haarp-strikes-causing-earthquakes-china-haiti-now-chile-whos-next.html'],A,0.5345,['PK']
187216,2010-11-22-037254,"in an invocation of this limited discovery tool unprecedented in its magnitude, chevron has to date filed actions in 16 jurisdictions, sought discovery from at least 25 separate individuals or entities affiliated with the ecuadorian plaintiffs, obtained over 275,000 pages of document discovery, and taken 11 depositions,",trent lott,Q50608,2010-11-22 16:39:00,2,"['http://courthousenews.com/2010/11/22/32019.htm'
 'http://forum.prisonplanet.com/index.php?topic=198424.msg1179555#msg1179555']",C,0.4238,['US']
4775,2010-09-15-090252,"the subpoena is important because borja has bragged about being at the epicenter of chevron's fraudulent activities in ecuador,",diego borja,Q3374734,2010-09-15 14:10:38,2,"['http://yubanet.com/california/Lawsuit-Targets-Chevron-Dirty-Tricks-Operative-Over-Ecuador-Video-Corruption-Scandal.php'
 'http://earthtimes.org/articles/press/orders-deposition-chevron-contractor,1464625.html']",C,0.6282,['US']
126991,2011-12-12-074513,"we are presented with yet another escape-plan that relies, just as chevron's bid for a worldwide preliminary injunction, on a formula of histrionics, half-truths, out-of-context and hacked-apart quotations drawn from the gift of the ecuadorian plaintiffs' entire privileged case file, and sheer magnitude of paper -- this time around, to the tune of 881 supposedly supporting exhibits totaling 4,500 pages,",lewis kaplan,Q6536756,2011-12-12 16:13:00,1,['http://legalnewsline.com/news/234623-ecuadorians-ask-court-to-stay-motion-to-attach'],C,0.5051,['US']
237242,2011-04-13-005185,"arizona's law has created actual foreign policy problems of a magnitude far greater than incidental. thus far, the following foreign leaders and bodies have publicly criticized arizona's law: the presidents of mexico, bolivia, ecuador, el salvador, and guatemala; the governments of brazil, colombia, honduras, and nicaragua; the national assemblies in ecuador and nicaragua and the central american parliament; six human rights experts at the united nations; the secretary general and many permanent representatives of the organization of american states; the inter-american commission on human rights; and the union of south american nations.",richard paez,Multiple,2011-04-13 03:36:30,1,['http://vdare.com/washington_watcher/110412_arizona_law.htm'],C,0.6535,['US']
134551,2011-05-23-066044,"this year, just a drop is undertaking project work in afghanistan, ecuador, guyana, india, kenya, mongolia, nepal, nicaragua, philippines, uganda, and zambia, and we've just started work following the devastating earthquake in haiti,",joanna lumley,Q254886,2011-05-23 21:22:45,1,['http://eturbonews.com/23003/corinthia-proudly-sponsors-international-water-aid-charity-event'],C,0.3655,['US']
18327,2012-10-19-058178,"our third-quarter results reflected steady international growth although performance in regional markets varied through activity mix and changes to project schedules. key markets, both on land and offshore, continued to drive performance as international demand for reservoir characterization and drilling services more than offset weakness in the north america pressure pumping market. both middle east & asia and europe/cis/africa areas delivered strong results, while latin america revenue was flat with the previous quarter due to operational delays, project mobilizations and changes in activity mix. in north america, a slow seasonal recovery in canada, falling us land rig count, continued oversupply of hydraulic fracturing capacity, and the effects of hurricane isaac all impacted performance. international pricing continued a steady upwards trend during the quarter, driven by higher sales of new technology and strong operational performance. service capacity remained tight for seismic, wireline and drilling & measurements services, and we also saw signs of capacity tightening in our well testing business. schlumberger production management continued to ramp-up operations on the shushufindi project in ecuador and the carrizo field in mexico, and we started mobilizing for the panuco project, also in mexico. among new schlumberger technologies, hiway stimulation activity continued to grow, the first commercial isometrix marine seismic acquisition was completed and we introduced several new and unique wireline services during the quarter. against these results, there continues to be uncertainty surrounding the outlook for the global economy. central bank interventions in the us and in europe, together with signs of a managed slowdown in the chinese economy, left estimates for future world gdp growth largely unchanged. at the same time, the balance of oil supply and demand continues to be tight, with continued production challenges in non-opec countries, and opec spare capacity remaining close to a five-year low. this overall landscape leads us to believe that oil prices will be supported around current levels although remaining subject to volatility. we still expect our international activity to grow in excess of 10% in 2012. in north america on the other hand, the strength in gulf of mexico activity will continue to be challenged by weakness in the land hydraulic fracturing market and early signs of softening in the land coiled-tubing business. in this market we will continue to maintain a relentless focus on the quality and efficiency of our execution. this, in combination with our balanced technology portfolio and unmatched international strength, creates an environment in which schlumberger is very favorably placed to deliver superior financial results.",paal kibsgaard,Q17099571,2012-10-19 10:00:00,4,"['http://businesswire.com/news/home/20121019005075/en/Schlumberger-Announces-Third-Quarter-2012-Results'
 'http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/schlumberger-announces-third-quarter-2012-100000925.html'
 'http://fool.com/investing/businesswire/2012/10/19/schlumberger-announces-third-quarter-2012-results.aspx'
 'http://stockhouse.com/Bullboards/MessageDetail.aspx?m=31675897&s=SLB&t=NYSE']",C,0.5958,['US']
192749,2012-03-24-001367,"also like feria, pow wow has cultural, economic and political dimensions. dancers in both events face the challenges that come with being indigenous in a society dominated by nonindigenous others. histories of genocide and ethnocide must continue to be overcome, and the twin pillars of indigenous survival-common culture and experience and the social solidarity born from them-are constructed at pow wow and earthquake started in indigenous regions of mexico ethereal aurora hovers over northern quebec: photos marchers reached ecuador capitol on world water day port gamble s `klallam get federal approval for foster care long plain first nation celebrates $21 million loss-of-use settlement buffalo harvest sparks dialogue at colorado college book tells the darker history of how hawaii became part of the u.s. minx: dream war",andrea grant,Multiple,2012-03-24 18:30:22,1,['http://indiancountrytodaymedianetwork.com/2012/03/24/intellectualizing-the-pow-wow-academic-tome-tells-all-104070'],C,0.5538,['US']
