,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
8724,2010-02-02-039219,"in sabah alone, tremors happen frequently in areas like kudat, lahad datu and tawau. last year, we also experienced a tremor off miri.",mohd zamri ramli,Q6894084,2010-02-02 00:24:03,1,['http://nst.com.my/articles/12eart/Article/index_html'],A,0.8154,['MY']
53402,2011-12-02-072700,"we take this opportunity to express our gratitude to sabahans for the assistance and support to the victims of the earthquake that hit the tohoku area of japan on march 11,",shigeru nakamura,Multiple,2011-12-02 07:00:22,1,['http://dailyexpress.com.my/news.cfm?NewsID=79905'],C,0.4161,['MY']
226059,2012-09-07-100764,"with the measures undertaken, the earthquake and early tsunami warning monitoring system for malaysia, especially in sabah, is adequate and according to international standards. our emergency response system operates at its optimum to ensure that if a disaster were to occur, the impact would be minimal to the people of sabah,",maximus ongkili,Q6795936,2012-09-07 08:45:23,1,['http://dailyexpress.com.my/news.cfm?NewsID=82503'],C,0.6324,['MY']
4288,2013-01-08-049690,"surely, there will be no political tsunami or earthquake in sabah. this is merely a political propaganda to create doubt or confusion among the electorate. the truth is the bn remains strong and intact,",salleh said keruak,Q1441575,2013-01-08 22:01:42,1,['http://theborneopost.com/2013/01/09/no-political-tsunami-or-earthquake-in-sabah-in-next-general-election-salleh/'],C,0.5469,['MY']
110886,2014-09-15-035713,"In the 1970s, there was an earthquake in the Philippines, and the columns in a building in Lahad Datu, Sabah were crushed,",Ismail Mohamed,Q3802593,2014-09-15 16:00:00,1,['http://www.thestar.com.my/Lifestyle/Entertainment/TV/News/2014/09/16/Building-a-Malaysian-wonder'],E,0.6395,['MY']
902,2014-03-16-036387,"The seismic system network needs to be extended to Sabah to improve earthquake and tsunami detection capability as there were 37 incidents of earthquakes recorded last year, in which five were felt by local residents,",Ewon Ebin,Q43376110,2014-03-16 05:23:20,1,['http://www.dailyexpress.com.my/news.cfm?NewsID=88728'],D,0.9314,['MY']
31503,2015-06-09-011855,"For example, the earthquake in Sabah and natural disasters like floods which hit the country recently were felt and affected all Malaysians. That is why the theme was chosen to symbolise the spirit of solidarity shared by all citizens no matter where they are,",Ahmad Shabery Cheek,Q4695471,2015-06-09 18:40:07,1,['http://theborneopost.com/2015/06/08/sehatisejiwa-theme-for-this-years-independence-day-celebration'],E,0.932,['MY']
70222,2015-06-10-075227,"While we mourn the loss of our young Singaporeans in the Sabah earthquake, let us also take comfort in their pursuit of life, and the strength of their human spirit-students who courageously reached for the sky, and teachers and guides who selflessly cared for and protected them,",Teo Chee Hean,Q3518218,2015-06-10 07:58:21,1,['http://www.channelnewsasia.com/news/singapore/dpm-teo-thanks-malaysia/1905280.html'],E,0.9068,['US']
139350,2015-06-18-012822,Everything was already expensive in Sabah and the recent earthquake has added to the woes.,Jimmy Wong,Multiple,2015-06-18 08:30:12,1,['http://www.freemalaysiatoday.com/category/nation/2015/06/18/sabah-seafood-exporters-want-najib-to-step-in/'],E,0.9265,['MY']
130738,2015-07-15-110596,"The past decade has shown that volcanic eruptions, climate change, devastating earthquakes and tsunamis play a large role in human loss and suffering. The magnitude 7.9 Nepal and 6.0 Sabah earthquakes and the eruption of Mount Sinabung in North Sumatra are just the most recent examples.",Kerry Sieh,Q6394661,2015-07-15 14:01:56,2,"['http://www.eurekalert.org/pub_releases/2015-07/ntu-neo071415.php'
 'http://www.asianscientist.com/2015/07/academia/ntu-stephen-riady-geoscience-scholars/']",E,0.8772,['US' 'CH']
182810,2015-06-18-002038,"After the tragedy of the Sabah earthquake, Singaporeans came together to mourn the victims and support one another, and also to celebrate those who gave their all and never gave up,",Lee Hsien Loong,Q57643,2015-06-18 16:14:37,2,"['http://channelnewsasia.com/news/singapore/team-singapore-s-sea/1920302.html'
 'http://straitstimes.com/news/sport/more-sport-stories/story/sea-games-record-medal-haul-fitting-tribute-sg50-says-pm-lee-201']",E,0.8611,['SN' 'US']
32100,2015-11-03-062028,It was so soon after the tragedy and tremors were still being recorded in Sabah.,Henry Golding,Q39072280,2015-11-03 20:04:10,2,"['http://news.asiaone.com/news/lifestyle/mountain-didnt-want-us-there-tv-host-henry-golding-0'
 'http://news.asiaone.com/news/lifestyle/mountain-didnt-want-us-there-tv-host-henry-golding']",E,0.9703,['SN']
94287,2015-06-09-001171,"A total of 23 school buildings and infrastructure such as roads were damaged by the earthquake. The Federal and State Governments will monitor, prepare a report and take immediate action to ensure that all this is rectified as soon as possible for the convenience of the public, especially students in Sabah,",Muhyiddin Yassin,Q1060949,2015-06-09 12:32:19,1,['http://thestar.com.my/News/Nation/2015/06/07/Sabah-quake-Najib-monitoring-from-Saudi'],E,0.8041,['MY']
196126,2015-06-15-032778,"last Friday morning, an earthquake of 6.0 magnitude struck near Mount Kinabalu in Sabah, something no one has ever seen before,",Heng Swee Keat,Q5714209,2015-06-15 09:18:13,1,['http://news.asiaone.com/news/singapore/minister-reflects-what-it-means-be-kid-parent'],E,0.6959,['SN']
74430,2015-08-07-018888,"Earlier, the concert was arranged for Kuala Lumpur. However, when the earthquake struck Sabah, we decided to do it here and wrote to Moen to explain the circumstance. He received it well and agreed,",None,,2015-08-07 10:56:07,1,['http://www.dailyexpress.com.my/news.cfm?NewsID=102142'],E,0.9195,['MY']
34152,2015-06-05-007464,"Our hearts are heavy with sadness because of the loss of lives due to the earthquake in Sabah,",Ng Eng Hen,Q1984113,2015-06-05 21:10:24,1,['http://www.channelnewsasia.com/news/singapore/missing-students-in-quake/1896370.html?cid=cna_flip_070214'],E,0.9087,['US']
209865,2015-06-11-074964,"We never said the naked stunt caused the earthquake. Sabahans were boiling hot for their total disrespect of Mt Kinabalu, considered sacred by Sabah's largest indigenous tribe (Kadazan Dusun who make up over 30% of the state's 3.2 million population) even before the earthquake happened. The earthquake multiplies their anger 1,000 times.",None,,2015-06-11 10:21:47,1,['http://www.theguardian.com/world/2015/jun/11/mount-kinabalu-naked-prank-eleanor-hawkins'],E,0.8915,['UK']
161884,2015-06-08-053009,"The people are now shocked and saddened by the earthquake which occurred in Ranau, Sabah. All efforts are being taken to rescue the victims of the tragedy,",Najib Razak,Q57675,2015-06-08 07:56:51,1,['http://themalaysianinsider.com/malaysia/article/all-out-effort-to-rescue-quake-victims-says-najib'],E,0.9052,['MY']
171346,2015-08-10-019861,"(for their) Devotion to duty and exemplary conduct during the Sabah earthquake,",None,,2015-08-10 16:08:09,1,['http://www.freemalaysiatoday.com/category/nation/2015/08/10/mt-kinabalu-guides-honoured-on-singapore-national-day/'],E,0.9126,['MY']
204748,2015-06-06-019123,"My thoughts are with the people in Sabah, Malaysia. Understand that families of Singaporeans there are anxious for more information. Our MFA Crisis Response Team has been dispatched there. Let us be patient as they do their best to reach those in need, and pray for the safety of those affected by the earthquake.",Yaacob Ibrahim,Q7463219,2015-06-06 03:30:54,1,['http://www.thesundaily.my/news/1450320'],E,0.8685,['MY']
172083,2015-06-13-016565,"I received news of an earthquake with a magnitude of 5.1 on the Richter scale which hit Ranau, Sabah, this morning. The relevant government agencies and assets must be mobilised to take all needed action,",Najib Razak,Q57675,2015-06-13 02:50:33,1,['http://www.channelnewsasia.com/news/asiapacific/another-quake-hits-sabah/1912634.html?cid=cna_flip_070214'],E,0.6955,['US']
200805,2015-11-18-085960,"The last time this House observed a minute of silence was after the earthquake in Sabah, not for a head of state,",Lim Lip Eng,Q10904961,2015-11-18 12:19:13,1,['http://www.freemalaysiatoday.com/category/nation/2015/11/18/no-one-minute-of-silence-for-then-in-parliament/'],E,0.421,['MY']
211928,2015-11-03-139480,"When I first learnt of the Sabah earthquake, (I felt) there are hidden dangers all around. We cannot take safety for granted,",Henry Golding,Q39072280,2015-11-03 20:04:10,2,"['http://news.asiaone.com/news/lifestyle/mountain-didnt-want-us-there-tv-host-henry-golding-0'
 'http://news.asiaone.com/news/lifestyle/mountain-didnt-want-us-there-tv-host-henry-golding']",E,0.9228,['SN']
193072,2015-07-13-025821,"This is a meaningful way that we can show our care for those affected by the Sabah earthquake, to whom we are indebted.",Heng Swee Keat,Q5714209,2015-07-13 22:00:00,1,['http://www.tnp.sg/news/singapore-news/new-bill-target-organised-crime-bosses'],E,0.9524,['SN']
96645,2015-06-11-064274,"They are supposed to be trained in other countries to face any tragedy and eventualities. I hope the government will seriously look into this... as Sabah is still feeling the aftershock tremors and this is not a one-off thing as there are hot springs on the way to Ranau,",Wan Azizah Wan Ismail,Q468579,2015-06-11 05:25:36,1,['http://www.dailyexpress.com.my/news.cfm?NewsID=100439'],E,0.5783,['MY']
210435,2015-06-08-071397,"Whether other people believe this or not, it's what we Sabahans believe. When the earthquake happened, it's like a confirmation of our beliefs,",Joseph Pairin Kitingan,Q551372,2015-06-08 07:14:05,10,"['http://straitstimes.com/news/asia/south-east-asia/story/sabah-deputy-chief-minister-says-quake-brought-tourists-who-stripped'
 'http://stuff.co.nz/travel/travel-troubles/69191739/naked-tourists-blamed-for-malaysian-earthquake'
 'http://www.ibtimes.com.au/malaysian-tribal-elders-blame-tourists-naked-pictures-killer-earthquake-1451518'
 'http://illawarramercury.com.au/story/3134105/naked-tourists-who-stripped-on-mt-kinabalu-in-malaysia-blamed-for-sabah-earthquake/?cs=34'
 'http://theherald.com.au/story/3134105/naked-tourists-who-stripped-on-mt-kinabalu-in-malaysia-blamed-for-sabah-earthquake/?cs=34'
 'http://dailyliberal.com.au/story/3134105/naked-tourists-who-stripped-on-mt-kinabalu-in-malaysia-blamed-for-sabah-earthquake/?cs=34'
 'http://illawarramercury.com.au/story/3134105/naked-tourists-who-stripped-on-mt-kinabalu-in-malaysia-blamed-for-sabah-earthquake/?cs=4110'
 'http://www.stuff.co.nz/travel/news/92158781'
 'http://www.stuff.co.nz/timaru-herald/world/107409553/Men-arrested-after-sharing-semi-naked-photos-taken-on-Sri-Lankas-Pidurangala-Rock'
 'http://www.stuff.co.nz/travel/travel-troubles/107409553/Men-arrested-after-sharing-semi-naked-photos-taken-on-Sri-Lankas-Pidurangala-Rock']",E,0.7842,['NZ' 'SN' 'AS']
127589,2015-08-10-015438,Devotion to duty and exemplary conduct during the Sabah earthquake,None,,2015-08-10 02:11:56,2,"['http://www.thestar.com.my/News/Nation/2015/08/10/Sabah-quake-Singapore-awards'
 'http://news.asiaone.com/news/singapore/16-get-awards-sabah-quake-efforts']",E,0.6349,['MY' 'SN']
185291,2015-06-06-025782,"The people are now shocked and saddened by the earthquake that occurred in Ranau, Sabah. All efforts are being taken to rescue the victims of the tragedy,",None,,2015-06-06 07:13:00,6,"['http://www.thestar.com.my/News/Nation/2015/06/06/Sabah-quake-Najib-all-efforts'
 'http://www.thesundaily.my/news/1450371'
 'http://www.theborneopost.com/2015/06/07/all-efforts-taken-to-rescue-quake-victims-najib/'
 'http://mysinchew.com/node/109669?tid=4'
 'http://malaysiandigest.com/frontpage/282-main-tile/556726-all-efforts-taken-to-rescue-victims-of-the-quake-in-sabah-najib.html'
 'http://news.asiaone.com/news/malaysia/sabah-quake-malaysia-doing-its-best-save-lives-says-najib']",E,0.6696,['MY' 'SN']
201511,2015-06-07-018214,"Mrs Tan and I are deeply saddened by the deaths of six pupils and one teacher from Tanjong Katong Primary School, as well as their adventure guide. They were in Kota Kinabalu on a learning visit when an earthquake struck Sabah last Friday. Our condolences go to their families and loved ones during this difficult period for them. We are hoping and praying that the student and teacher who are still missing will be found soon. PM Lee has just announced that tomorrow will be a Day of National Remembrance. Together as a nation, we mourn the tragic loss of these sons and daughters of Singapore.",Tony Tan,Multiple,2015-06-07 07:20:20,1,['http://www.channelnewsasia.com/news/singapore/sabah-quake-update-8/1898114.html'],E,0.833,['US']
101123,2015-06-16-016860,"I also saw the many officials and volunteers making sure everything ran smoothly. After the tragedy of the Sabah earthquake, Singaporeans came together to mourn the victims and support one another, and also to celebrate those who gave their all and never gave up.",Lee Hsien Loong,Q57643,2015-06-16 20:17:03,1,['http://www.todayonline.com/sports/build-sea-games-success-urges-chuan-jin'],E,0.7698,['CH']
