,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
209035,2009-04-06-039462,"it was with great sadness that i learned of the tragic earthquake overnight at l'aquila, causing numerous victims,",jose manuel barroso,Q15849,2009-04-06 14:08:17,2,"['http://abc.net.au/news/stories/2009/04/06/2536574.htm?section=justin'
 'http://eubusiness.com/news-eu/1239016645.05']",A,0.2864,['GR' 'AS']
90671,2009-07-07-066375,there would have to be an earthquake of a strength that has never been seen in l'aquila.,guido bertolaso,Q3119409,2009-07-07 11:04:36,31,"['http://ktla.com/news/nationworld/sns-ap-g8-summit-security,0,1679131.story'
 'http://blog.taragana.com/n/italy-deploys-thousands-of-policemen-for-g8-summit-readies-evacuation-plan-in-case-of-quake-101655/'
 'http://dailypress.com/news/world/sns-ap-g8-summit-security,0,6716076.story'
 'http://fox59.com/news/nationworld/sns-ap-g8-summit-security,0,3045039.story'
 'http://kentucky.com/524/story/854933.html'
 'http://statesman.com/news/content/shared-gen/ap/Europe/G8_Summit_Security.html'
 'http://ajc.com/services/content/shared-gen/ap/Europe/G8_Summit_Security.html?cxtype=rss&cxsvc=1&cxcat=0'
 'http://brandonsun.com/story.php?story_id=146755'
 'http://salon.com/wires/ap/world/2009/07/07/D999IL6G1_g8_summit_security/index.html?source=rss&aim=wires'
 'http://q13fox.com/news/nationworld/sns-ap-g8-summit-security,0,4069465.story'
 'http://heraldonline.com/wire/world/story/1456150.html'
 'http://columbian.com/article/20090707/API/907070636'
 'http://kansascity.com/451/story/1309974.html'
 'http://ctv.ca/servlet/ArticleNews/story/CTVNews/20090707/g8_italy_090707/20090707?hub=World&s_name='
 'http://dailypress.com/news/national/sns-ap-g8-summit-security,0,962787.story'
 'http://cbsnews.com/stories/2009/07/07/ap/europe/main5138955.shtml'
 'http://seattlepi.com/national/1103ap_g8_summit_security.html?source=rss'
 'http://kdwn.com/index.php?page=2&section=WORLD_NEWS&title=Italy_readies_evacuation_plan_for_G8'
 'http://boston.com/news/world/europe/articles/2009/07/07/italy_readies_evacuation_plan_for_g8?rss_id=Boston.com+--+Latest+news'
 'http://startribune.com/world/50129332.html'
 'http://bismarcktribune.com/articles/2009/07/07/ap/international/g8_summit_security.txt'
 'http://cbsnews.com/stories/2009/07/07/ap/world/main5139272.shtml'
 'http://blog.taragana.com/n/italy-deploys-thousands-of-police-for-g8-summit-readies-evacuation-plan-in-case-of-quake-101973/'
 'http://cnews.canoe.ca/CNEWS/World/2009/07/07/10048391-ap.html'
 'http://breitbart.com/article.php?id=D999MH9G0&show_article=1'
 'http://wbt.com/news/details.cfm?ap_id=D999MH9G0'
 'http://kdwn.com/index.php?page=2&section=WORLD_NEWS&title=Italy_readies_quake_plan_for_G8'
 'http://foxnews.com/story/0,2933,530379,00.html'
 'http://post-gazette.com/pg/09189/982461-82.stm?cmpid=news.xml'
 'http://philly.com/r?19=961&43=165776&44=50206072&32=3796&7=195377&40=http%3A%2F%2Fwww.philly.com%2Fphilly%2Fnews%2Fnation_world%2F20090708_Quake_evacuation_plan_is_part_of_massive_G-8_security.html']",A,0.2685,['IN' 'US' 'CA']
28938,2009-04-08-093404,"when the earthquake hit, i was staying with my fiancé in a different town, 80 kilometers away from l'aquila. even there the whole bed was shaking and i woke up. i am a member of the city's civil defense so i drove back to l'aquila to get involved in the rescue. later, i visited my home and saw that the ceiling in my bedroom had collapsed.",francesco de angelis,Multiple,2009-04-08 19:42:24,1,['http://pubs.acs.org/cen/news/87/i15/8715notw3.html'],A,0.3876,['US']
9545,2009-04-18-053784,"we do know that some earthquakes, including the l'aquila event, have foreshocks, but we can't sound alarm bells every time little earthquakes happen because the overwhelming majority -- 95 percent or so -- will not indicate a coming major quake,",rick sanchez,Q6091403,2009-04-18 08:06:35,1,['http://ajr.org/Article.asp?id=4751'],A,0.3884,['US']
17987,2009-04-06-068877,"the tremors being felt by the population are part of a typical sequence... [ which is ] absolutely normal in a seismic area like the one around l'aquila,",None,,2009-04-06 11:52:02,35,"['http://thestar.com/News/World/article/614310'
 'http://mobile.reuters.com/mobile/m/FullArticle/CTOP/ntopNews_uUSTRE5352AH20090406?src=RSS-TOP'
 'http://olympics.thestar.com/2008/article/614310'
 'http://stuff.co.nz/world/2319091/Scientist-muzzled-for-Italy-quake-warnings'
 'http://in.reuters.com/articlePrint?articleId=INIndia-38908220090406'
 'http://uk.news.yahoo.com/22/20090406/tpl-uk-italy-quake-warning-43a8d4f.html'
 'http://thelede.blogs.nytimes.com/2009/04/06/earthquake-warning-was-removed-from-internet/index.html'
 'http://stocks.us.reuters.com/article/scienceNews/idUSTRE53543420090406'
 'http://tvnz.co.nz/world-news/scientist-predicted-quake-muzzled-2623262'
 'http://kyivpost.com/world/39038'
 'http://news24.com/News24/World/News/0,,2-10-1462_2497632,00.html'
 'http://uk.news.yahoo.com/22/20090406/tsc-uk-italy-quake-warning-011ccfa.html'
 'http://cbsnews.com/stories/2009/04/06/world/main4922878.shtml?source=RSSattr=SciTech_4922878'
 'http://news.scotsman.com/world/Scientist-reported-to-police-for.5147209.jp'
 'http://msnbc.msn.com/id/30076197/'
 'http://nationalpost.com/nationalpost/story.html?id=1470593'
 'http://thescotsman.scotsman.com/latestnews/Scientist-reported-to-police-for.5147209.jp'
 'http://news.scotsman.com/latestnews/Italian-earthquake-Scientist-reported-to.5147209.jp'
 'http://register.thestar.com/News/World/article/614827'
 'http://nationalpost.com/rss/story.html?id=1470593'
 'http://boston.com/news/world/europe/articles/2009/04/07/italy_muzzled_scientist_for_spreading_alarm?p1=Well_MostPop_Emailed6'
 'http://warofillusions.wordpress.com/2009/04/07/italian-geophysicist-who-predicted-earthquake-was-told-to-take-findings-off-the-internet-by-government/'
 'http://dailytech.com/article.aspx?newsid=14777'
 'http://redorbit.com/news/science/1667414/experts_deny_scientists_earthquake_prediction_claim/index.html'
 'http://ahrcanum.wordpress.com/2009/04/08/italy-earthquake-warnings-by-giampaolo-guiliani-dismissed/'
 'http://gulf-times.com/site/topics/article.asp?cu_no=2&item_no=283127&version=1&template_id=39&parent_id=21'
 'http://abc.net.au/news/stories/2009/04/07/2537047.htm?section=justin'
 'http://brisbanetimes.com.au/world/panic-monger-who-predicted-earthquake-wants-apology-20090407-9whe.html'
 'http://news.scotsman.com/12007/Italian-earthquake-Scientist-reported-to.5147209.jp'
 'http://blogs.myspace.com/index.cfm?fuseaction=blog.view&friendId=163378673&blogId=484216458'
 'http://blogs.myspace.com/index.cfm?fuseaction=blog.view&friendId=87544933&blogId=484197907'
 'http://uk.news.yahoo.com/4/20090406/twl-scientist-gagged-over-quake-warning-41f21e0_1.html'
 'http://heloise8.wordpress.com/2009/04/'
 'http://heloise8.wordpress.com/2009/04/06/']",A,0.3179,['NZ' 'UP' 'UK' 'SF' 'CA' 'US' 'QA' 'AS']
96588,2009-07-08-075702,"to cause problems, there would need to be an earthquake that has never before been recorded in l'aquila's history,",guido bertolaso,Q3119409,2009-07-08 07:10:10,3,"['http://msnbc.msn.com/id/31791771/ns/world_news-washington_post/'
 'http://washingtonpost.com/wp-dyn/content/article/2009/07/08/AR2009070801237.html?hpid=topnews'
 'http://washingtonpost.com/wp-dyn/content/article/2009/07/07/AR2009070702522.html?referrer=emailarticle']",A,0.5906,['US']
131998,2009-04-10-054489,"let us pray for all those who feel sorrow, above all for those suffering in the quake-stricken area of l'aquila,",pope benedict xvi,Q2494,2009-04-10 21:42:08,31,"['http://salon.com/wires/ap/world/2009/04/10/D97FQN400_eu_vatican_good_friday/index.html'
 'http://npr.org/templates/story/story.php?storyId=102969532'
 'http://startribune.com/world/42810697.html?elr=KArksLckD8EQDUoaEyqyP4O:DW3ckUiD3aPc:_Yyc:aUUsZ'
 'http://philly.com/philly/wires/ap/news/world/20090410_ap_popepresidesoverwayofthecrossprocession.html'
 'http://huffingtonpost.com/huff-wires/20090410/eu-vatican-good-friday'
 'http://breitbart.com/article.php?id=D97FRIMO0&show_article=1'
 'http://jg-tc.com/articles/2009/04/10/ap/international/d97frimo0.txt'
 'http://philly.com/philly/hp/news_update/20090410_ap_popepresidesoverwayofthecrossprocession.html'
 'http://magicvalley.com/articles/2009/04/10/ap/international/d97frimo0.txt'
 'http://muscatinejournal.com/articles/2009/04/10/ap/headlines/d97frimo0.txt'
 'http://santamariatimes.com/articles/2009/04/10/ap/international/d97frimo0.txt'
 'http://foxnews.com/story/0,2933,514375,00.html'
 'http://bostonherald.com/news/international/general/view.bg?articleid=1164863&srvc=rss'
 'http://breakingnews.nypost.com/dynamic/stories/E/EU_VATICAN_GOOD_FRIDAY?SITE=NYNYP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2009-04-10-14-38-02'
 'http://newsday.com/news/nationworld/nation/ny-bc-eu--vatican-goodfrida0410apr10,0,4719873.story'
 'http://chippewa.com/articles/2009/04/10/ap/headlines/d97frimo0.txt'
 'http://brisbanetimes.com.au/world/pope-leads-way-of-the-cross-20090411-a33p.html'
 'http://washingtontimes.com/news/2009/apr/10/pope-presides-over-way-of-the-cross-procession-1/'
 'http://3news.co.nz/News/Pope-presides-over-Way-of-the-Cross-procession/tabid/209/articleID/99354/Default.aspx?ArticleID=99354'
 'http://.whdh.com/news/articles/world/BO110130/'
 'http://.journalnow.com/content/2009/apr/11/hope-amid-sorrow-pope-remembers-earthquake-victims/news/'
 'http://mercurynews.com/news/ci_12120666?source=rss'
 'http://mercurynews.com/nationworld/ci_12120666?source=rss'
 'http://stltoday.com/stltoday/news/stories.nsf/religion/story/53CA563E44FA0918862575950008B98F?OpenDocument'
 'http://mysinchew.com/node/23057'
 'http://thenewstribune.com/news/religion/story/706180.html?source=rss'
 'http://ledger-enquirer.com/252/story/681613.html'
 'http://foxnews.com/wires/2009Apr10/0,4670,EUVaticanGoodFriday,00.html'
 'http://lubbockonline.com/stories/041109/wor_428044501.shtml'
 'http://benningtonbanner.com/ci_12122020'
 'http://suntimes.com/lifestyles/religion/1522237,CST-NWS-cross11.article']",A,0.6762,['AS' 'US' 'NZ' 'MY']
45023,2009-04-15-038444,"italian scientist giampaolo giuliani, a researcher at the national physical laboratory of gran sasso, recently gave warning about an earthquake that was to happen on march 29th of this year near l'aquilla. based on radon gas emissions and a series of observed tremors he tried to convince residents to evacuate, drawing much criticism from the city's mayor and others. giuliani was forced to take down warnings he had posted on the internet. the researcher had said that a `disastrous' earthquake would strike on march 29, but when it didn't, guido bertolaso, head of italy's civil protection agency, last week officially denounced giuliani in court for false alarm. `these imbeciles enjoy spreading false news,' bertalaso was quoted as saying. `everyone knows that you can't predict earthquakes.' giuliani, it turns out, was partially right. a much smaller seismic shift struck on the day he said it would, with the truly disastrous one arriving just one week later. `someone owes me an apology,' said giuliani, who is also a resident of l'aquila. `the situation here is dramatic. i am devastated, but also angry. '",ed gray,Q1621492,2009-04-15 06:43:20,1,['http://keelynet.wordpress.com/2009/04/14/two-earthquake-detector-articles-of-interest/'],A,0.5745,['US']
67194,2009-10-15-087704,"there has been a breakthrough in negotiations. september 1st, 2009 brussels-european union's (eu) trade commissioner catherine ashton and agriculture commissioner mariann fischer boel will travel to new delhi wednesday to take part in an informal meeting of wto (world trade organisations) ministers hosted by the indian government, the euasianews reported. the meeting will seek to give a renewed push to the doha round of world trade talks, building on decisions taken by g20 leaders in london earlier this year, the european commission said in a statement here tuesday. july 9th, 2009 l'aquila - the groups of rich and developing countries, including india, are likely to commit themselves to early conclusion of the doha development round of multilateral trade talks under the world trade organisation (wto) later thursday. a statement in this regard to this effect is expected from the g8 and g5 countries, as well as egypt, at the g8 summit being held at this quake-hit italian city, some 100 km northeast of rome. kamal nath great negotiator but opposed liberalisation: mandelson london-british business secretary peter mandelson says former commerce and industry minister kamal nath was a great negotiator but wouldn't budge on opening up the indian market. in his first public comments since the formation of the new indian government in may, mandelson said friday that negotiating with major economies such as india in world trade talks was one of his main mandates as the european union's trade commissioner. june 25th, 2009 london-indian investments need not cause fears of an indian raj over britain, the house of lords has been told by an indian-born member, but instead would surely show britain a way out of the current recession. in the 17th century, britain entered into trade with india in the name of the british east india company, lord navneet dholakia of the liberal democrat party told the british upper house of parliament. june 25th, 2009 london-an indian-born member of the british house of lords has told the historic chamber that growing indian investments need not cause fears of an indian raj over britain. rather than causing a reversal of history, he told members, indians could surely show britain a way out of the current recession. june 22nd, 2009 london-indias new trade and commerce minister anand sharma said monday rich countries must grant indian professionals more visas as he pressed for a resumption of stalled global trade talks. sharma, who is in britain for talks with his opposite number peter mandelson, told a gathering of prominent british and indian businessmen the logjam in the so-called doha development round of trade talks must be broken",anand sharma,Q755831,2009-10-15 17:34:46,1,['http://blog.taragana.com/n/uae-britain-to-hold-trade-talks-in-london-197154/'],A,0.7438,['IN']
11576,2009-09-11-021713,"i am delighted to see l'aquila playing in their home ground again, less than five months after the earthquake. this is a richly deserved award and i am proud to be involved in this evening's presentation,",alessandro troncon,Q742960,2009-09-11 17:24:15,1,['http://telegraph.co.uk/sport/rugbyunion/club/6174885/LAquila-win-IRB-Spirit-of-Rugby-Award-after-help-with-earthquake-tragedy.html'],A,0.5561,['UK']
38668,2009-04-07-083508,when the earthquake came all the villagers ran panicking into the streets. we saw the village's main tower collapse but thank god no one was killed. i had to persuade people it was ok to return to their houses and now we are drinking a little wine and are all relieved to be alive. some of us are not so lucky. my friend has just returned home to rest after digging with his bare hands in rubble at l'aquila for the body of his girlfriend. he will return tomorrow to dig again.,annalisa angelini,Q29840384,2009-04-07 10:43:11,1,['http://care2.com/news/member/451276626/1108781'],A,0.5809,['US']
116310,2009-04-09-029540,"i wish to send these holy oils to our dear brother (l'aquila archbishop) giuseppe molinari, who because of the great damage caused by the earthquake cannot gather his faithful today,",pope benedict xvi,Q2494,2009-04-09 18:27:28,3,"['http://sg.news.yahoo.com/afp/20090410/tts-italy-quake-509a08e.html'
 'http://malaysia.news.yahoo.com/afp/20090410/tts-italy-quake-509a08e.html'
 'http://channelnewsasia.com/stories/afp_world/view/421401/1/.html']",A,0.7295,['US']
4872,2009-04-26-005451,"bulgaria investigates astrologist for quake claim bulgarian prosecutors launched an inquiry on tuesday to establish whether a famous astrologist who had forecast an earthquake that failed to take place had committed the crime of spreading false information. hundreds of people from the southern city of haskovo slept in tents and their cars on saturday night after astrologist emil leshtanski said an earthquake with a magnitude of up to 7.0 on the richter scale would rock the city that night. leshtanski had said the tremor would cause death and serious damage to the city of some 80,000 people, on the day predominantly christian orthodox bulgarians celebrate easter. bulgarians are highly superstitious, with psychics, healers and fortune-tellers enjoying wide popularity in the balkan country of 7.6 million. panic gave way to anger once the predicted quake did not take place and several people in haskovo said they would take leshtanski to court for causing them distress. prosecutors said they will be collecting evidence in the case for up to two months on suspicion of spreading false information and causing panic. the astrologist faces up to two years in jail if convicted. he published an apology to the citizens of haskovo in a national newspaper where he writes daily zodiac forecasts. italian scientist gioacchino giuliani predicted a major earthquake around l'aquila weeks before disaster struck the city on april 6, killing 294 people, but was reported to the authorities for spreading panic.",bob jones,Multiple,2009-04-26 10:47:50,1,['http://endtimespropheticwords.wordpress.com/2009/04/26/the-astrologer-who-has-more-integrity-than-the-churchs-popular-prophets-have/'],A,0.3772,['US']
45169,2009-04-08-027495,"i renew my spiritual closeness to the beloved community of l'aquila and other counties hardest hit by violent seismic phenomenon of recent days, which caused many casualties, many wounded and massive damage to property. the speed with which authorities, police, volunteers and other rescue workers have come to our brothers illustrates the importance of solidarity in overcoming together such painful trials.",pope benedict xvi,Q2494,2009-04-08 17:14:12,1,['http://ncregister.com/daily/pope_ill_visit_quake_survivors/'],A,0.5018,['US']
48518,2009-04-08-093023,"when i felt the earthquake, i got my family out of the house and we immediately left l'aquila,",marcello crucianelli,Q58877276,2009-04-08 19:42:24,1,['http://pubs.acs.org/cen/news/87/i15/8715notw3.html'],A,0.5313,['US']
21259,2009-10-13-077730,"this is particularly true in countries where weak health systems already struggle to meet the health needs of populations. in burkina faso, flooding forced the evacuation of the patients from the main hospital in the capital city. in indonesia, hospital collapses during the earthquake in sumatra caused additional loss of life. in l'aquila, italy, the collapse of a newly built hospital provided a grim reminder that health systems in richer nations are also at risk.",ban ki-moon,Q1253,2009-10-13 08:20:33,4,"['http://blog.taragana.com/health/2009/10/13/protect-hospitals-from-disasters-un-chief-13524/'
 'http://twocircles.net/2009oct13/protect_hospitals_disasters_un_chief.html'
 'http://topnews.in/protect-hospitals-disasters-un-chief-2223847'
 'http://prokerala.com/news/articles/a85519.html']",A,0.5091,['IN']
211032,2009-04-14-050916,"seeing the devastation and destruction following the l'aquila earthquake i really wanted to do something to help the victims,",nicole cooke,Q230996,2009-04-14 11:34:17,1,['http://cyclingweekly.co.uk/news/cooke_auctions_jersey_for_earthquake_victims_article_280575.html?aff=rss'],A,0.5858,['UK']
139526,2009-07-07-060018,the g-8: a new quake for l'aquila.,pope benedict xvi,Q2494,2009-07-07 19:15:27,7,"['http://salon.com/wires/ap/world/2009/07/07/D999PEH00_g8_summit_protests/index.html?source=rss&aim=wires'
 'http://blog.taragana.com/n/police-arrest-38-people-after-clashes-at-rome-protests-against-g-8-summit-102180/'
 'http://salon.com/wires/ap/world/2009/07/07/D999QIBG2_g8_summit_protests/index.html?source=rss&aim=wires'
 'http://kansascity.com/659/story/1310141.html'
 'http://dispatch.com/live/content/local_news/stories/2009/07/07/encyclical.html?type=rss&cat=&sid=101'
 'http://abclocal.go.com/wls/story?section=news/national_world&id=6903061&rss=rss-wls-article-6903061']",A,0.5365,['IN' 'US']
169695,2009-07-10-085959,"we came from rome out of solidarity for the residents of l'aquila. the reconstruction hasn't really started yet and for the last three months the government has been getting ready for the g8, not helping victims of the quake,",paolo leonardi,Q3894178,2009-07-10 17:28:49,2,"['http://news24.com/Content/World/News/1073/dbd8f2b848414aa8a684e3da97617d2d/10-07-2009%2007-07/5_000_in_peaceful_G8_protest'
 'http://nation.com.pk/pakistan-news-newspaper-daily-english-online/International/11-Jul-2009/5000-protest-at-summit']",A,0.6164,['PK' 'SF']
20664,2009-04-17-095222,was of italian seismologist giampaolo giuliani touring the medieval mountain town of l'aquila in his van warning the locals with a loudspeaker to evacuate because an earthquake was coming. he was reported to the police for `spreading alarm' and forced to remove his warning from the internet.,paul anthony,Q7149081,2009-04-17 01:35:24,1,['http://thetrumpet.com/index.php?q=6104.4497.0.0'],A,0.5185,['US']
90972,2009-04-24-021029,"hosting the g8 in l'aquila is like adding another earthquake to the actual one. i think is an unconvincing and illogical option, that will certainly not be appreciated from those who were already working to organize the forthcoming meeting. there are hundreds of man at work every day here for the july event, setting up a g8 meeting is not exactly like organizing a birthday party.",dario franceschini,Q388442,2009-04-24 12:20:52,1,['http://slygames.wordpress.com/2009/04/24/the-g8-in-laquila-will-save-220-millions-and-keep-the-no-globals-away/'],A,0.3732,['US']
22611,2009-07-03-023947,"i'll be attending the international climate change meetings that coincide with italy's hosting of the g8 meetings in l'aquila, the very region where the earthquake struck in april,",kevin rudd,Q43135,2009-07-03 14:48:37,1,['http://au.rd.yahoo.com/news/rss/top_stories/*http://au.news.yahoo.com/a/-/latest/5701685'],A,0.5514,['US']
81495,2009-06-15-040881,"obama is looking for common ground on boosting the troubled economy, and the two leaders are likely to discuss the differing approaches of the u.s. and most of europe -- a topic that will feature prominently at the july summit of the group of eight leading industrial nations in l'aquila [ pronounced lah-kweelah ], the apennine mountain town that was devastated by an earthquake this spring.",larry summers,Q317953,2009-06-15 13:31:43,1,['http://firstread.msnbc.msn.com/archive/2009/06/15/1964626.aspx'],A,0.3803,['US']
189916,2009-04-08-066840,"the historic center of l'aquila has been devastated and as expected, damage to unreinforced masonry (urm) buildings is severe. narrow streets have been made impassable by the rubble of collapsed urm houses-many of them more than 100 years old. however, damage was not restricted to the oldest structures. many reinforced concrete (rc) frame buildings dating from the 1960s and 1970s-and thus predating seismic code provisions-suffered heavy damage as well. among these, the variability of damage is reported to be high, with one severely damaged next to another which appears to be intact. however, even newer rc frame buildings also suffered damage, and many exhibit gaping shear cracks in their walls.",guillermo franco,Multiple,2009-04-08 04:16:10,1,"['http://earthtimes.org/articles/show/air-worldwide-estimates-insured-losses,778645.shtml']",A,0.5207,['US']
