,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
105041,2009-09-29-080655,we have confirmed that there was indeed a 6.1 magnitude earthquake on that very day in bhutan and a 4.8 magnitude aftershock was felt in uttaranchal where satopanth lies. after further research is seems that our team was climbing less than 40km from the epicenter.,gauri shankar,Q5527777,2009-09-29 07:14:39,2,"['http://himalman.wordpress.com/2009/09/29/himalaya-2009-climbing-season-karakoram-and-himalaya-wrap-up-33-week-in-review/'
 'http://rangrez.wordpress.com/2009/09/28/explorersweb-week-in-review-the-pioneers-checkpoint-7/']",A,0.3361,['US']
208545,2010-07-22-043274,"in bhutan, despite the magnitude of change, one thing remains unchanged. it is our goal for happiness.",kinley dorji,Multiple,2010-07-22 14:14:00,1,['http://livemint.com/2010/07/22194419/Happiness-central.html'],B,0.3999,['IN']
6973,2012-10-19-074357,"the support and help in monetary form, and the prayers bhutanese offered for the victims of the earthquake last year in japan has really touched my heart,",tokiko kato,Q1078163,2012-10-19 05:17:03,1,['http://kuenselonline.com/2011/?p=38602'],C,0.7623,['BT']
48804,2013-01-19-022460,"it'll contribute to better assessment of earthquake hazards, particularly in the bhutan himalaya region.",gy?rgy het?nyi,Q23908140,2013-01-19 04:06:45,1,['http://kuenselonline.com/38-seismic-stations-to-record-tremours/'],C,0.5656,['BT']
148975,2014-07-17-073847,"The problem is just not restricted to the state... due to its location, bordering Bangladesh, Nepal and Bhutan, the magnitude is immense. CPCs will ensure the strictest vigilance,",Asadur Rahman,Q42184083,2014-07-17 10:50:03,2,"['http://nvonews.com/bengal-to-lauch-anti-trafficking-committees/'
 'http://newkerala.com/news/2014/fullnews-81707.html']",E,0.769,['IN']
22489,2015-04-29-017648,"The population of India has doubled since the last great Himalayan earthquake in 1950 (in Assam). The urban population in the Ganges plain has increased by a factor of 10 since the 1905 earthquake, when collapsing buildings killed 19,500 people. Today, about 50 million people are at risk from great Himalayan earthquakes, many of them in towns and villages in the Ganges plain. The capital cities of Bangladesh, Bhutan, India, Nepal, and Pakistan and several other cities with more than a million inhabitants are vulnerable to damage from some of these future earthquakes",James Jackson,Multiple,2015-04-29 08:46:30,4,"['http://firstpost.com/world/nepal-isnt-the-big-one-next-himalayan-quake-maybe-far-more-serious-and-closer-to-home-2214286.html'
 'http://www.msn.com/en-in/news/other/nepal-isnt-the-big-one-the-next-himalayan-quake-maybe-far-more-serious-and-closer-to-home/ar-BBiIA24?srcref=rss'
 'http://firstpost.com/world/nepal-isnt-the-big-one-next-himalayan-quake-maybe-closer-to-home-and-far-more-serious-2214286.html'
 'http://firstpost.com/world/nepal-isnt-the-big-one-next-himalayan-earthquake-could-be-far-more-serious-and-closer-to-home-2214286.html']",E,0.5396,['IN' 'US']
10094,2015-05-05-013483,"We've got just under 100 Nepalese or Bhutanese students enrolled at our school and a number of those families have had lives lost in the earthquake in Nepal,",Michael Hansen,Multiple,2015-05-05 23:33:00,1,['http://www.abc.net.au/local/photos/2015/05/06/4230427.htm'],E,0.9809,['AS']
156151,2015-07-20-017756,"Even in a short span of time, some results are already evident. In the case of Bangladesh, it includes the settlement of the land boundary and major connectivity and infrastructure initiatives. With Nepal, the long-standing potential for hydro-electric power is beginning to be tapped. India was not only the first responder during the earthquake but also the principal contributor to its reconstruction efforts. With Bhutan, a traditionally strong relationship has been further consolidated.",None,,2015-07-20 17:31:41,3,"['http://timesofindia.indiatimes.com/india/Interplay-between-India-China-and-US-will-determine-strategic-balance-in-Asia-Jaishankar/articleshow/48149121.cms'
 'http://timesofindia.indiatimes.com/india/India-US-China-to-decide-strategic-balance-in-Asia/articleshow/48152798.cms'
 'http://www.thenews.com.pk/Todays-News-13-38706-India-to-join-hands-with-Pakistan-against-terrorism-Indian-official']",E,0.7625,['IN' 'PK']
73708,2015-12-21-073304,"The earthquake in Nepal affected the tourist arrivals here because most of the guests enter Bhutan through Nepal,",Pema Khandu,Q7161834,2015-12-21 06:12:21,1,['http://www.kuenselonline.com/bad-business-for-bumthang-hotels-this-year/'],E,0.7481,['BT']
82322,2015-04-29-020774,"Upon the Royal Command of His Majesty The King, Bhutan will be sending a 37-member medical team assisted by 15 Desuups to Kathmandu to offer medical assistance for the earthquake relief operations,",None,,2015-04-29 10:46:02,2,"['http://telegraph.co.uk/news/worldnews/asia/nepal/11565061/Nepal-earthquake-What-is-being-done-to-help-victims.html'
 'http://www.msn.com/en-gb/news/magazine/nepal-earthquake-what-is-being-done-to-help-victims-and-what-happens-next/ar-BBiJ5p5?srcref=rss']",E,0.867,['US' 'UK']
54199,2015-10-05-036488,"I have been having sleepless nights since the last earth quake hit Bhutan as I have 30 girls who stay at the school hostel,",Tshering Choden,Q460809,2015-10-05 18:45:10,1,['http://reliefweb.int/report/bhutan/undp-helps-stabilize-landslide-prone-area-phuentsholing'],E,0.8244,['SY']
202523,2015-04-30-032137,"With an average budget of Rs 15,000-Rs 25,000 per person, a majority of travellers usually spend 3-5 nights. Keeping on-ground situation in mind, we have voluntarily cancelled all departures to Nepal for the time being. In return, we are offering trips to Kashmir, Ladakh, Bhutan and Himachal to tourists whose travel plans have been affected by the quake,",Asit Biswas,Q730719,2015-04-30 04:19:59,1,['http://dnaindia.com/money/report-tourism-industry-too-feels-the-tremors-nepal-tour-cancellations-piling-up-2081308'],E,0.5035,['IN']
100999,2015-08-20-143459,"When I attended the Jaipur Literary Festival in 2010, I did not think that Bhutan would be able to host an event of this diversity and magnitude,",None,,2015-08-20 06:32:07,1,['http://www.kuenselonline.com/sixth-edition-of-mountain-echoes-begins/'],E,0.6787,['BT']
15020,2015-09-30-005146,"All this has yielded positive results. The resolution of the decades old Land Boundary Agreement and settling the Maritime Boundary with Bangladesh, supply of water to the Maldives suffering from breakdown of water supply system, India's immediate assistance to Nepal after the devastating earthquake, continuing its close cooperation with Bhutan, and pursuing proactive cooperation with the new government in Sri Lanka have all signalled India's willingness to pursue this strategy. With Pakistan, our efforts have not yielded the desired progress for reasons that are known to all of you,",Pranab Mukherjee,Q57446,2015-09-30 17:09:35,1,['http://netindian.in/news/2015/09/30/00035197/mukherjee-says-south-asian-neighbours-are-indias-highest-priority'],E,0.7752,['IN']
101382,2015-05-12-059709,"This is the largest aftershock to occur 17 days after the main shock of the 7.8 event and forms an aftershock zone of about 175 kilometers in length. This event was widely felt across the area, including China, Bhutan, Bangladesh and India.",Mike Taylor,Multiple,2015-05-12 05:00:00,1,['http://news.ku.edu/2015/05/12/media-advisory-himalayan-seismology-expert-can-discuss-latest-earthquake-nepal-0'],E,0.8057,['US']
134662,2015-04-30-022102,"The earthquake has resulted in extensive damage to life and property in Nepal and its adjoining countries like Tibet, Bangladesh, Bhutan and India.",Lobsang Sangay,Q41443,2015-04-30 09:19:44,1,['http://newkerala.com/news/2015/fullnews-50518.html'],E,0.9614,['IN']
11994,2017-11-30-085217,"Our diplomacy has changed the world for better. When Bhutan suffered due to an earthquake, Sri Lanka with floods, Maldives was hit by water shortage, India rushed to help. When Yemen was in trouble, India not only saved 400 of its citizens, it also helped around 2000 people from other nationalities,",Narendra Modi,Q1058,2017-11-30 07:14:44,2,"['http://www.news18.com/news/india/ht-leadership-summit-cnn-news18-exclusive-live-10-growth-very-challenging-figure-need-boom-period-for-it-says-finance-minister-arun-jaitley-1590659.html'
 'https://www.oneindia.com/india/ready-pay-political-price-steps-i-have-taken-modi-2593004.html']",E,0.8687,['IN']
20296,2018-06-11-048795,"It was designed and built prior to the introduction of seismic codes in Bhutan,",Thinley Dorji,Multiple,2018-06-11 00:00:00,1,['http://www.kuenselonline.com/gol-building-to-be-demolished/'],E,0.9613,['BT']
50817,2018-09-23-045255,"The airport will help in the overall development of state and promote tourism. It will also have an important role for the armed forces when NH10 remains closed and in situations of natural calamities such as the earthquake of 2011. The state shares its border with China, Bhutan, Nepal,",None,,2018-09-23 23:31:00,1,['https://www.hindustantimes.com/india-news/landlocked-sikkim-to-enter-aviation-map-from-monday-pm-modi-to-inaugurate-airport-at-pakyong/story-J6A6mxIWUU038kk3Nz591K.html'],E,0.9136,['IN']
86782,2019-05-18-008597,"Emotions don't change because of the borders in between, the life and plight of #Nazia is a simple portrayal of any girl who faces the magnitude of ordinary challenges in a not so ordinary story. #Lines is my debut in films. I hope you all love it as much we loved it. This is the first look launched at @festivaldecannes and an official poster which depicts more than a poster can! @rahatkazmi @tariq_khana @zebasajid2 @rockyj1 @rishi_bhutani @husseinkhan72 @pinkuchauhan8 @d. avaniish #cannes 2019.",Hina Khan,Multiple,2019-05-18 10:23:51,1,['https://www.news18.com/news/movies/hina-khan-has-worked-hard-in-her-career-and-deserves-the-cannes-limelight-2146031.html'],E,0.9466,['IN']
