,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
96201,2010-02-28-051911,"the killers used... this morning (sunday 28 february), about two hundred israeli armed policemen invaded the compound of the al-aqsa mosque in the old city of jerusalem to attack a non-violent sit-in, organized by palestinians in the city... johnny rivas is a vocal member of the unified movement of aguan farmers (muca), an organization that claims over 3,500 families demanding the redistribution of land in the north coast of honduras. for over five... securing haiti within hours of haiti's devastating earthquake, cuban doctors, chinese search and rescue teams and venezuelan medical professionals were on the ground. when the us military took control of port-au-prince airport, however, they prioritized landing soldiers... four prisoners freed from guantánamo: three in albania, one in spain on wednesday, four prisoners were released from guantánamo: an egyptian, a libyan and a tunisian arrived in albania, and a palestinian arrived in spain. all four had been cleared by military review boards at guantánamo... editor's comment: alvaro uribe has finally received his comeuppance and he got it democratically. chief justice mauricio gonzalez stated that uribe's attempt to remain in power was",ali salem,Q2920702,2010-02-28 19:09:48,1,['http://axisoflogic.com/artman/publish/Article_58707.shtml'],A,0.5874,['US']
4598,2010-02-28-069823,"we've got haiti going on, we've got flooding in albania, we've got an earthquake in tajikistan... and we've got some flooding in arizona. all of this is going on at the same time,",scott mccallum,Q351214,2010-02-28 10:55:26,1,['http://postcrescent.com/article/20100228/APC06/2280549&located=rss'],A,0.6645,['US']
52477,2010-03-10-005501,"another paradox of the new poverty measure is that countries such as bangladesh and albania will have lower poverty rates than the united states, even though the actual living conditions in those countries are extremely bad. haiti would probably have a very low poverty rate when measured by the obama system because the earthquake reduced much of the population to a uniform penniless squalor.",None,,2010-03-10 15:40:21,1,['http://weeklystandard.com/blogs/daily-grind-63'],A,0.5494,['US']
143799,2015-03-07-001260,"Alastair: FFS. By all means peddle this drivel to the Albanian prime minister and the hedge funds and financial services companies that these days you earn your crust advising, but don't put it in a book. It makes you look silly.",Robert Crampton,Q7343174,2015-03-07 17:24:43,2,"['http://lse.co.uk/shareChat.asp?ShareTicker=CYAN&post=10988644&type=regular'
 'http://lse.co.uk/shareChat.asp?ShareTicker=CYAN&post=10988791&type=regular']",E,0.9203,['UK']
73069,2019-11-29-052333,"Public transport does not cater to the needs of those who have some kind of disability. This and other systemic issues alienates many of them from an active READ MORE: 4000 Albanians made homeless after quake: minister professional life, although they have the capability and the skills to work in various kinds of industries.",Ahmed Yusuf,Multiple,2019-11-29 20:56:29,1,['https://nation.com.pk/30-Nov-2019/iba-hosts-discussion-on-reporting-on-disability'],E,0.8039,['PK']
46343,2019-06-07-124555,"Young Albanians feel angry and cheated by the government. We have seismic, mind-blowing problems with corruption. When drugs came into the picture, so much cash was flowing that it actually shook the national currency. Money dictates our country's decisions, and as that money is provided by drug cartels -- to individual politicians, and to all political parties -- anyone fighting corruption hits big hurdles.",Rudina Hajdari,Multiple,2019-06-07 08:07:00,1,['https://www.vice.com/en_uk/article/zmpq89/the-inside-story-of-europes-first-narco-state'],E,0.862,['US']
182522,2019-11-29-019553,"Hey guys, we just had an earthquake here in Albania but I just wanted to let you know that Florian and I are...",None,,2019-11-29 21:08:49,1,['https://www.monstersandcritics.com/people/stacey-silva-with-florian-sukaj-in-video-update-after-albanian-earthquake/'],E,0.7571,['US']
41093,2019-12-04-029158,Hungary is providing assistance to Albania towards the elimination of the damage caused by the recent major earthquake,Péter Szijjártó,Q685293,2019-12-04 08:43:31,1,['https://reliefweb.int/report/albania/hungary-providing-assistance-toward-mitigation-albanian-earthquake-damage'],E,0.7913,['SY']
4705,2019-11-27-062189,"No country can build a healthy and growing READ MORE: Albania earthquake: death toll rises to 26 economy or establish a true democracy if half its people are held back, pushed aside, left behind or beaten up.",Madeleine Albright,Q174438,2019-11-27 19:38:09,1,['https://nation.com.pk/28-Nov-2019/past-in-perspective'],E,0.9513,['PK']
109141,2019-12-04-124799,"Yesterday I returned from a two day trip to Albania seeing the damage of the earthquake first hand and meeting with those who are affected,",None,,2019-12-04 00:00:00,2,"['http://feeds.foxnews.com/~r/foxnews/entertainment/~3/Im4kVRDQvPs/bebe-rexha-rebuild-albania-devastating-magnitude-earthquake'
 'https://www.foxnews.com/entertainment/bebe-rexha-rebuild-albania-devastating-magnitude-earthquake']",E,0.7913,['US']
44827,2019-11-26-082370,"The M6.4 earthquake that just hit Albania (local time early Tuesday morning) is likely to have caused damage and casualties. Located near the coast, there are several small towns nearby, some with vulnerable buildings and pretty strong shaking in Tirane,",Lucy Jones,Multiple,2019-11-26 04:19:49,1,['http://www.ibtimes.com/albania-earthquake-strong-64-magnitude-quake-strikes-country-heavy-damage-reported-2873609'],E,0.9522,['US']
171903,2019-12-04-111438,"We have designated two houses damaged by the earthquake to rebuild, as a start. Please continue to spread awareness about this tragedy and the help that Albania needs. I love my country ❤ ️ Te Dua shqiperi.",None,,2019-12-04 00:00:00,2,"['http://feeds.foxnews.com/~r/foxnews/entertainment/~3/Im4kVRDQvPs/bebe-rexha-rebuild-albania-devastating-magnitude-earthquake'
 'https://www.foxnews.com/entertainment/bebe-rexha-rebuild-albania-devastating-magnitude-earthquake']",E,0.5392,['US']
186161,2019-09-21-036188,Quite some panic around town. Reportedly the biggest earthquake in Albania in 30 years.,None,,2019-09-21 14:39:56,1,['https://www.irishmirror.ie/news/world-news/breaking-albania-earthquake-buildings-shake-20137784'],E,0.8124,['EI']
29980,2019-11-26-077358,"The 6.4 magnitude quake hit Albania around 4 a.m. local time and could be felt some 200 miles north in Sarajevo,",Olta Xhaçka,Q13043722,2019-11-26 00:00:00,72,"['http://iowapublicradio.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://kazu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://ketr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://krcu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://kwbu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://mpbn.net/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://peconicpublicbroadcasting.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://radio.wpsu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://upr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wcqs.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wdiy.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wemu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wesa.fm/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wmot.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wqcs.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wutc.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://www.capradio.org/news/npr/story?storyid=782897881'
 'http://www.kbia.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://www.kgou.org/post/albania-rocked-64-magnitude-earthquake-killing-least-18'
 'http://www.opb.org/news/article/npr-albania-is-rocked-by-64-magnitude-earthquake-killing-at-least-16/'
 'http://www.wcbe.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://wxxinews.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://news.wfsu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.apr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.delmarvapublicradio.net/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.hppr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.ijpr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kalw.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kenw.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.keranews.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kgou.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kios.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kmuw.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.knba.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kosu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.krcc.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.krvs.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.krwg.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.ksmu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.ktep.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kuer.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.kunm.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.mtpr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.northernpublicradio.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.tpr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.ualrpublicradio.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wbaa.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wbgo.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wboi.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wesm913.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wfae.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wknofm.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wlrn.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wncw.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wrvo.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wshu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wuky.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wunc.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wuwm.com/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wvpublic.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wvtf.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wvxu.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wxpr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wyomingpublicmedia.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wypr.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'https://www.wyso.org/post/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://www.wfdd.org/story/albania-rocked-64-magnitude-earthquake-killing-least-16'
 'http://www.kpbs.org/news/2019/nov/26/albania-is-rocked-by-64-magnitude-earthquake/'
 'https://www.wuft.org/nation-world/2019/11/26/albania-is-rocked-by-6-4-magnitude-earthquake-killing-at-least-16/'
 'http://www.wfdd.org/story/albania-rocked-64-magnitude-earthquake-killing-least-18'
 'https://www.northcountrypublicradio.org/news/npr/782897881/albania-rocked-by-6-4-magnitude-earthquake-killing-at-least-18'
 'http://www.wpr.org/albania-rocked-6-4-magnitude-earthquake-killing-least-18']",E,0.9247,['US']
182316,2019-11-27-007347,"As a country, which suffered from great earthquakes in the past, we understand Albania's pain,",Recep Tayyip Erdoğan,Q39259,2019-11-27 10:28:00,2,"['http://www.hurriyetdailynews.com/erdogan-calls-for-support-to-albania-amid-quake-149184'
 'https://defence.pk/pdf/threads/turkish-rescue-teams-start-work-in-albania-after-quake.644324/']",E,0.7275,['TU' 'PK']
145493,2019-08-22-028907,"I did two good seasons with Reno and I was expected to move up to San Jose Earthquakes, which is the parent team for Reno, but I didn't get that chance, but what could I do? I could only do what I can control, so the club in Albania needed a striker and I took the opportunity as I needed a new challenge and to prove to myself that I can score goals wherever I go,",Brian Brown,Multiple,2019-08-22 05:22:20,1,['http://jamaicaobserver.com/sports/brian-brown-bang-on-target-with-albania-move-boyz-striker-describes-debut-hat-trick-for-top-flight-partizani-a-special-moment-_172963?profile=1511#disqus_thread'],E,0.876,['JM']
171083,2020-02-17-056991,Supporting Albania in post-earthquake reconstruction and rehabilitation,Ursula von der Leyen,Q60772,2020-02-17 18:14:06,1,['https://www.irishtimes.com/news/world/europe/north-macedonia-heads-for-early-elections-as-eu-hopes-rise-1.4176544'],E,0.4725,['EI']
126445,2020-01-26-018966,"I want to express [ to ] you Albania's deep gratitude for the human solidarity and the inspirational compassion shown during the inspection, evaluation of earthquake-damaged buildings and dwellings, and in particular for calming down residents and for advising Albanian citizens affected by natural disaster, further consolidating the friendly and historical relations between our two nations and our countries,",Ilir Meta,Q727132,2020-01-26 04:53:00,1,['https://www.jpost.com/Israel-News/MDA-offers-assistance-to-Turkey-after-earthquake-615374'],E,0.881,['IS']
57477,2020-02-18-081598,"The total value of Turkey's aid and pledge to earthquake victims in Albania is approximately € 46.3 million ($50.1 million),",None,,2020-02-18 09:47:36,1,['https://www.yenisafak.com/en/world/global-community-offers-earthquake-aid-to-albania-3512223'],E,0.8919,['TU']
