,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
38088,2008-11-02-013970,i was deeply moved by the news of the tragic earthquake that occurred today in the ziarat area in balochistan.,asif zardari,Q57373,2008-11-02 08:38:20,1,['http://twocircles.net/2008nov02/french_president_expresses_sympathies_president_zardari.html'],A,0.5125,['IN']
33548,2008-10-29-020795,"i was shocked to hear the news about the earthquake which struck south-western balochistan earlier today,",benita ferrero-waldner,Q78575,2008-10-29 11:16:35,2,"['http://earthtimes.org/articles/show/239129,eu-ready-to-assist-pakistani-earthquake-victims.html'
 'http://topnews.in/eu-ready-assist-pakistani-earthquake-victims-281385']",A,0.5341,['US' 'IN']
88060,2009-06-05-012728,"fears have been expressed that the turmoil in balochistan will threaten the security of the pipeline since a great length of the 1,000 kilometers inside pakistan passes through that province which borders iran. islamabad could convert this factor to its advantage if it can ensure that in the construction of the pipeline indigenous labor is hired and the gains of the economic activity generated by projects of such magnitude are focused on balochistan for the benefit of its poverty stricken people.",president barack obama,Q76,2009-06-05 02:43:03,2,"['http://atimes.com/atimes/Middle_East/KF05Ak04.html'
 'http://wondersofpakistan.wordpress.com/2009/06/06/energy-security-diplomacy-and-pipeline-corridors-all-over-eurasia/']",A,0.3995,['US' 'CH']
32637,2010-08-05-093474,"this is a national tragedy that requires each one of us to respond with support that is tangible and urgency which is critical. as one of the largest private sector organizations in the country, mobilink has always been at the forefront in supporting our fellow citizens in times such as these. we have an experienced team who have been a part of mobilink's efforts in the 2005 earthquake, balochistan floods and more recently the idps relief efforts as well as a generous employee and subscriber base that makes us ideally positioned to deliver effectively.",naguib sawiris,Q1391723,2010-08-05 17:24:36,1,['http://propakistani.pk/2010/08/05/mobilink-pledges-rs-85-million-for-flood-relief/'],C,0.3025,['PK']
146478,2010-09-27-023406,"hrcp has been grieved and saddened by the murder of habib jalib, who was a voice of reason both in and outside parliament for disempowered people, not only in balochistan but across pakistan. we offer our sincere condolences to the bereaved family and to habib jalib's party. a highly respected politician across pakistan and a supreme court lawyer, he had always backed a peaceful and democratic struggle for balochistan's rights. regardless of one's assessment of jalib's views, he was always respected for his forthrightness and the passion with which he honoured his commitment. on several occasions hrcp benefited from his views on democracy, autonomy of federating units and the rights of the underprivileged. this murder most foul is bound to aggravate the feeling of alienation among the people of balochistan and it might undermine pakistan's integrity. whoever the killers may be and whatever their motives, it will be very difficult to persuade the people of balochistan that he was not killed for fighting for balochistan's rights. the murder is bound to strengthen the hands of those advocating violence and drown out the voices of people committed to espousing peaceful change through democratic means. hrcp demands the government must give habib jalib's murder the attention a tragedy of this magnitude deserves. its response must go beyond condemning the attack and issuing statements promising review of the security situation in the region. a transparent and credible investigation to the satisfaction of habib jalib's family must be initiated to ensure that the perpetrators of the crime do not go unpunished and their mischief does not cause any more harm than it has already done.",habib jalib baloch,Q5636780,2010-09-27 10:52:15,1,['http://hrcpblog.wordpress.com/2010/09/27/jalib%e2%80%99s-murder-a-blow-to-national-integrity-hrcp/'],C,0.5628,['US']
40632,2011-01-19-072877,"the earthquake occurred at around 1:23 am and it was felt in balochistan, sindh and southern punjab provinces,",mohammad riaz,Q35954263,2011-01-19 06:22:00,1,['http://deccanchronicle.com/international/panic-major-quake-rattles-pakistan-parts-india-617'],C,0.5731,['IN']
11615,2013-10-05-051252,"We want foreign or international human rights organisations to have direct access in Balochistan's quake-stricken areas. All Baloch pro-independence political parties and leaders agree on this point that international humanitarian and non-governmental organisations must be granted direct access to carry out relief work in Balochistan, so why doesn't the military allow other social and civil organisations to carry out relief operations?",None,,2013-10-05 07:15:52,1,['http://paktribune.com/news/Foreign-donors-be-given-direct-access-in-Balochistan-Hyrbyar-263548.html'],D,0.8959,['PK']
233075,2013-10-14-060190,"Their aim is to hamper the relief work of our charity Falah-e-Insaniyat foundation in the earthquake hit Balochistan, that's why they are trying to stop our funding,",Mohammad Saeed,Multiple,2013-10-14 11:57:49,2,"['http://brecorder.com/top-news/1-front-top-news/140330-india-us-trying-to-hamper-pakistan-quake-relief-hafiz-saeed.html'
 'http://www.defence.pk/forums/strategic-geopolitical-issues/283335-india-us-trying-hamper-balochistan-quake-relief-hafiz-saeed.html']",D,0.796,['PK']
236983,2013-09-26-073318,"The government of Spain has learned with deep sadness the news relating to a major earthquake that occurred on September 24, in Pakistan's region of Balochistan, which has caused more than 200 deaths and a large number of injured and persons who have lost their homes.",None,,2013-09-26 15:50:45,1,['http://www.aaj.tv/2013/09/nations-condole-deaths-in-balochistan-earthquake-offer-assistance/'],D,0.7899,['PK']
190672,2013-09-29-011075,"I believe it is my duty to use my medical skills to help. I went to Sindh Province in 2011 to help flood victims; I helped victims of the 2007 cyclone in Balochistan; and I worked in Pakistan-administered Kashmir as a medical student after the 2005 earthquake for months,",Abdul Rashid,Multiple,2013-09-29 22:40:02,1,['http://www.eurasiareview.com/29092013-security-fears-hold-back-relief-work-quake-hit-pakistan/'],D,0.7895,['US']
