,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
22048,2011-03-15-025779,"i offer my prayers to all those who lost their lives in the march 11 tohoku earthquake and its ensuing aftermath, as well as my sympathy to the survivors and their families.",akio toyoda,Q418622,2011-03-15 17:47:03,1,['http://automoblog.net/2011/03/15/update-japanese-automakers-adjust-to-earthquake-aftermath/'],C,0.7053,['US']
82037,2011-03-19-028061,"on behalf of the city of kasugai, i would like to extend our gratitude to you for sending us a letter of sympathy from the heart just after the disaster of tohoku earth quake which attacked the eastern japan,",sharon shepherd,Q59484603,2011-03-19 00:00:00,9,"['http://castanet.net/edition/news-story-60900-1-.htm#60900'
 'http://castanet.net/edition/news-story-60887-1-.htm#60887'
 'http://castanet.net/edition/news-story-60904-1-.htm#60904'
 'http://castanet.net/edition/news-story-60905-1-.htm#60905'
 'http://castanet.net/edition/news-story-60912-1-.htm#60912'
 'http://castanet.net/edition/news-story-60913-1-.htm#60913'
 'http://castanet.net/edition/news-story-60915-1-.htm#60915'
 'http://castanet.net/edition/news-story-60852-1-.htm#60852'
 'http://castanet.net/edition/news-story-60917-1-.htm#60917']",C,0.7121,['CA']
126375,2011-03-21-012564,"extends heartfelt sympathy and deepest condolences to the people who have suffered from the effects of the tohoku pacific earthquake and sincerely hopes for their quick recovery,",greg anderson,Multiple,2011-03-21 14:02:53,2,"['http://us.rd.yahoo.com/finance/news/rss/story/*http://biz.yahoo.com/pz/110321/216686.html?.v=1'
 'http://earthtimes.org/articles/press/impact-events-affecting-japan,1718067.html']",C,0.5638,['US']
208180,2011-06-02-067378,"the geology is so different here that the likelihood of a mega event of of a 9.0 magnitude like the march 2011 tohoku earthquake is unlikely,",arthur lerner-lam,Q58002781,2011-06-02 10:52:00,1,['http://nyacknewsandviews.com/2011/06/indianpointhearings201105/'],C,0.6253,['US']
227236,2011-12-30-043042,"tens of thousands of buildings were destroyed or damaged by the tohoku earthquake, which was the most powerful to hit japan since modern instrumental recordings began 130 years ago. industry losses related to the earthquake and tsunami are currently estimated at more than $30 billion.",guy carpenter,Q50054481,2011-12-30 11:46:54,1,['http://insurancejournal.com/news/international/2011/12/30/229138.htm'],C,0.6481,['US']
84972,2011-03-14-059915,"the size of the economy of the main earthquake-affected region is roughly the same as that of the area hit by the great hanshin (kobe) earthquake in 1995, but with this tohoku pacific (sendai) earthquake affecting road networks, power plants and other infrastructure over a wide area, we expect the short-term economic impact to be greater than the kobe earthquake,",takahide kiuchi,Q11518172,2011-03-14 04:25:02,3,"['http://businessweek.com/news/2011-03-14/japanese-stocks-fall-most-in-two-years-on-earthquake.html'
 'http://bloomberg.com/news/2011-03-14/japanese-stocks-plummet-most-untraded-at-open-after-strongest-earthquake.html'
 'http://financeasia.com/News/251034,japan-counts-the-cost-of-record-quake.aspx']",C,0.5238,['US' 'CH' 'TI']
30121,2011-06-20-028592,"i would like to express my deep gratitude to everyone, beginning with our colleagues at our development partner fujitsu limited, who worked so valiantly on the construction of the k computer even under the severe conditions following the great east japan earthquake. it is wonderful to be able to share the joy of this moment with them. i very much believe that the strength and perseverance that was demonstrated during this project will also make possible the recovery of the devastated tohoku region. as we move forward to complete this project by next june, we will maintain our firm commitment to the maintenance and operation of the system, and i hope to see wonderful results when we begin to make the world's top performing supercomputer available to users around the world.",ryoji noyori,Q157210,2011-06-20 11:03:31,2,"['http://sys-con.com/node/1879069'
 'http://efytimes.com/efytimes/fullnewsxml.asp?edid=64689']",C,0.624,['US' 'IN']
128215,2011-03-11-056918,"saddened to learn of the magnitude 8.8 earthquake that struck the tohoku region, and the loss of life and destruction to property.",sr nathan,Q212188,2011-03-11 16:51:41,1,['http://channelnewsasia.com/stories/singaporelocalnews/view/1115922/1/.html'],C,0.4068,['US']
34449,2011-05-26-076997,"there remains a lot of real estate in japan-on shore and off-that could host large, late aftershocks of the tohoku quake,",ross s. stein,Q7369640,2011-05-26 06:00:11,3,"['http://planetsave.com/2011/05/26/tohoku-earthquake-increases-japanese-earthquake-risk/'
 'http://truthdive.com/2011/05/26/Japan-earthquake-appears-to-increase-quake-risk-in-other-parts-of-country.html'
 'http://feeds.bignewsnetwork.com/?sid=787944']",C,0.6423,['US' 'IN']
190246,2011-12-08-002694,"altogether the historical catalogue counts up to 70 tsunamis generated by submarine earthquakes that have occurred since ad 869 near the eastern tohoku coast (iida, 1984; watanabe,1998). they include at least six destructive tsunamis that resulted in run-ups of 25 to 38 meters and thousands of fatalities.",robert j. geller,Q11350569,2011-12-08 17:38:16,1,['http://japanfocus.org//-Sachie-MIZOHATA/3648'],C,0.7553,['JA']
27316,2011-08-14-044691,"we are profoundly grateful for the support from astrazeneca to providing much needed mental healthcare to children in tohoku area. the unprecedented magnitude of this natural disaster has left a large number of children without parents and thus in a state of immense grief. the contribution will help us strengthen the care we deliver and provide a physical place for emotional healing to those children,",yoshiomi tamai,Q11572389,2011-08-14 21:44:27,1,['http://japantoday.com/category/national/view/astrazeneca-to-support-disaster-orphans'],C,0.597,['JA']
14980,2011-11-04-038848,"indeed, officials expect disruption to operations to last several months and are warning the floods could have a similar impact on production as the tohoku earthquake in march. thailand plays a critical role in the global supply chain and companies are therefore seeking alternative production facilities or supply routes for parts.",guy carpenter,Q50054481,2011-11-04 20:09:00,1,['http://canadianunderwriter.ca/news/insured-losses-from-thailand-flood-likely-to-range-from-4-5-billion-to-5-85-billion/1000665197/?ref=rss'],C,0.5214,['CA']
157781,2011-03-19-016909,"i would like to extend my heartfelt welcome. although we have had conversations over the phone, i am delighted to have a dialogue face to face for the first time. since we decided to hold this meeting in kyoto, we were initially planning a program to express our welcome accordingly but we apologize for not being able to do so due to the current circumstances. we would like to seek your understanding on this matter. we would like to take this opportunity to build up a relationship of mutual trust and work hard to deepen the strategic and mutually beneficial relationship between japan and china. i would also like to definitely cooperate with the foreign minister at the meeting of foreign ministers of japan, china and south korea scheduled after this meeting. following this tohoku-pacific ocean earthquake, we received heartwarming condolences from president hu jintao, premier wen jiabao and the foreign minister. i was told that president hu jintao visited the japanese embassy in beijing yesterday and signed the book of condolences. the foreign minister also accompanied him. furthermore, the chinese government dispatched a disaster relief team and supplied aid goods, and various private (inaudible). on behalf of (inaudible), i would like to convey our sincere gratitude. we asked the disaster relief team to go to the heavily damaged ofunato city, iwate prefecture. they poured considerable energy every day under the difficult environment where snow was falling. i would like to express my deepest appreciation. ofunato city has also sent their words of heartfelt gratitude.",takeaki matsumoto,Q1315762,2011-03-19 11:17:13,1,['http://breitbart.com/article.php?id=D9M291DO0&show_article=1'],C,0.4374,['US']
177337,2011-04-09-033398,"tackle the post-quake situation in various ways, including by buying more products from tohoku [ the affected region ] to help its economy revitalise",naoto kan,Q47846,2011-04-09 18:28:42,1,['http://thehindu.com/news/international/article1682992.ece'],C,0.6237,['IN']
73635,2011-05-19-072997,"the high-frequency seismic waves in the tohoku earthquake were generated much closer to the coast, away from the area of the slip where we saw low-frequency waves,",mark simons,Q57414843,2011-05-19 04:00:00,13,"['http://eurekalert.org/pub_releases/2011-05/ciot-crr051811.php'
 'http://sciencecodex.com/caltech_researchers_release_first_large_observational_study_of_90_tohokuoki_earthquake'
 'http://esciencenews.com/articles/2011/05/19/caltech.researchers.release.first.large.observational.study.9.0.tohoku.oki.earthquake'
 'http://feeds.bignewsnetwork.com/?sid=785078'
 'http://futurity.org/earth-environment/new-data-how-earth-moved-under-japan/'
 'http://newkerala.com/news/world/fullnews-213354.html'
 'http://pasadenanow.com/main/caltech-researchers-release-first-large-study-of-recent-90-tohoku-oki-earthquake'
 'http://enn.com/business/article/42729'
 'http://enn.com/enn_original_news/article/42729'
 'http://enn.com/lifestyle/article/42729'
 'http://enn.com/sci-tech/article/42729'
 'http://planetsave.com/2011/05/24/first-large-observational-study-of-japanese-earthquake/'
 'http://spacedaily.com/reports/NASA_University_Japan_Quake_Study_Yields_Surprises_999.html']",C,0.4314,['IN' 'US']
142435,2011-03-22-080537,we believe the tohoku earthquake is an activation event under our contract with topiary capital limited and that we now benefit from up to $200 million of collateralized retrocessional protection for certain catastrophe events that may occur prior to august 2011.,d. price,Q55005016,2011-03-22 20:00:00,1,['http://us.rd.yahoo.com/finance/news/rss/story/*http://biz.yahoo.com/prnews/110322/ny69755.html?.v=1'],C,0.6559,['US']
75738,2011-05-08-010481,"hiraizumi was a center of the tohoku region's recovery from a period of wars. that historical context has made me think that it could symbolize our recovery from the disastrous earthquake and tsunami,",takuya tasso,Q49869,2011-05-08 01:32:00,1,['http://asahi.com/english/TKY201105070139.html'],C,0.5557,['JA']
64074,2011-03-14-068601,"total damage stemming from the quake in tohoku may top the cost of the damage of the great hanshin quake in the short-term,",masaaki kanno,Multiple,2011-03-14 07:38:39,1,['http://forexlive.com/172826/all/japan-quake-to-shatter-near-term-econ-activity-boj-moves'],C,0.5799,['GR']
33920,2011-09-27-016598,"from this year, i am working as a test rider for hrc. i am forty-four years old now and i didn't expect to have another chance to race in motogp. it is a great honor for me and i want to thank all those who gave me this opportunity. motegi has recovered to the level where we can race, but at my home area miyagi prefecture, where i was born and where i live now, there are many who cannot find work nor who is uncomfortable at temporary houses. i feel that the reconstruction of the area has not been done smoothly. maybe what i can do will be limited. but if i, who had suffered from the quake and who is forty-four years old, can try my best at the japanese gp, i can give some hope and power to those who had suffered in tohoku (north east) and to the fans.",stefan bradl,Q61380,2011-09-27 16:09:00,2,"['http://roadracingworld.com/news/article/?lnk=rss&article=46182'
 'http://paddocktalk.com/news/html/modules.php?op=modload&name=News&file=article&sid=174519&newlang=&topic=37&catid=102']",C,0.3641,['US']
32241,2011-09-13-047104,"just like financial markets, labor markets continue to adjust to the `new normal' and there will continue to be turbulence. navigating this seesawing demand is difficult for employers, but most employers continue to be thoughtful and cautious in their hiring. for example, india's less confident outlook is due partially to weaker u.s. demand, as the u.s. accounts for almost 60 percent of the revenues in the $60 billion indian it industry. at the same time, we see job prospects in china decline for the fourth consecutive quarter as employers-especially small businesses-continue to struggle with increasing labor costs. there is good news in japan with employers' optimism now the strongest in three years, as companies in the earthquake-devastated tohoku region are returning to regular production schedules and government job initiatives for displaced workers aid the recovery.",jeffrey a. joerres,Q6175806,2011-09-13 07:55:00,2,"['http://istockanalyst.com/article/viewarticle/articleid/5412132'
 'http://us.rd.yahoo.com/finance/news/rss/story/*http://biz.yahoo.com/prnews/110913/cg67003.html?.v=1']",C,0.6296,['US']
229844,2011-04-27-000480,"a fairy tale (that) crumbled during the tohoku earthquake and tsunami. entangled in the very news they were supposed to report, (the media) lost all sense of composure.",anderson cooper,Q316997,2011-04-27 00:00:00,1,['http://feeds.huffingtonpost.com/~r/HP/media/~3/mak0oKQxqW8/the-wild-ones-are-america_b_854022.html'],C,0.277,['US']
70522,2011-03-13-009468,heartfelt sympathy to the people of japan and the victims of the tohoku earthquake.,jack johnson,Multiple,2011-03-13 19:00:00,1,['http://looktothestars.org/news/5939-jack-johnson-in-japan-during-earthquake-makes-charity-donation'],C,0.7029,['US']
106671,2011-04-22-076449,"with this budget, we are taking one step forward towards reconstruction after the great tohoku earthquake and towards restarting the economy,",yoshihiko noda,Q57647,2011-04-22 00:45:00,6,"['http://uk.reuters.com/article/2011/04/22/uk-japan-economy-idUKTRE73L04C20110422?feedType=RSS&feedName=topNews&ca=moto'
 'http://in.reuters.com/article/2011/04/22/idINIndia-56510620110422?feedType=RSS&feedName=worldNews'
 'http://in.reuters.com/article/2011/04/22/idINIndia-56510520110422?feedType=RSS&feedName=businessNews'
 'http://my.news.yahoo.com/japan-govt-approves-4-trln-yen-quake-relief-004853046.html'
 'http://olympics.thestar.com/2010/article/978923'
 'http://businessspectator.com.au/bs.nsf/Article/Japan-govt-approves-4-trln-yen-quake-relief-spendi-G5VWU?opendocument&src=idp']",C,0.5821,['US' 'CA' 'AS']
121153,2011-04-04-041824,"march pmi data provide the first indication of how output at small, medium and large sized japanese manufacturers was affected by the events following the tohoku earthquake on 11 march. the pmi slumped to a two-year low, suffering the largest monthly fall in points terms since the survey began in 2001, exceeding the drops seen after 9/11 and the collapse of lehmans. the latest index reading is consistent with a decline in japanese industrial production of around 7.0% on a 3m/3m basis",alex hamilton,Multiple,2011-04-04 12:28:46,1,['http://seekingalpha.com/article/261616-march-global-manufacturing-slips-slightly?source=feed'],C,0.5231,['US']
147459,2011-03-14-020307,"i extend to the people of japan and especially to those of the tohoku region my heartfelt sympathy and condolences in the aftermath of the devastation from the earthquake and the subsequent tsunami. the pictures we see on our television news reports are unbelievable-horrific. at times like this, we are united in our effort to bring relief to those people suffering in the wreckage of the horrors of nature. please stay strong. today, we are all japanese.",george takei,Q110154,2011-03-14 20:41:41,1,['http://newamericamedia.org/2011/03/riverside-reaches-out-to-sendai-george-takei-sends-sympathy.php'],C,0.6743,['US']
53402,2011-12-02-072700,"we take this opportunity to express our gratitude to sabahans for the assistance and support to the victims of the earthquake that hit the tohoku area of japan on march 11,",shigeru nakamura,Multiple,2011-12-02 07:00:22,1,['http://dailyexpress.com.my/news.cfm?NewsID=79905'],C,0.4161,['MY']
170468,2011-03-21-072061,"we are saddened by the tragic events in japan. our thoughts are with our more than 700 tiffany colleagues and with all the people of japan. tiffany stores located in the kanto and tohoku regions, which generate somewhat more than half of sales in japan, were closed or operating on reduced hours after the earthquake and tsunami, with physical damage limited to a few stores. most stores have re-opened over the past weekend. our stores in the southwestern kansai region have remained open.",michael j. kowalski,Q21063764,2011-03-21 11:00:00,3,"['http://businesswire.com/news/home/20110321005773/en/Tiffany-Reports-Fourth-Quarter-Year-Results-Company'
 'http://finance.yahoo.com/news/Tiffany-Reports-Fourth-bw-2439672628.html?x=0'
 'http://us.rd.yahoo.com/finance/news/rss/story/*http://biz.yahoo.com/bw/110321/20110321005773.html?.v=2']",C,0.5471,['US']
216900,2011-03-12-031689,"thank you for worrying. in osaka, there is no quake damage. the damage of tokyo, sendai, kanto, and tohoku is larger.",ajoy kumar,Q27655800,2011-03-12 07:10:05,1,['http://business-standard.com/india/news/\\wesafe-all-ok\\-whencame-to-japan\\s-aid/428249/'],C,0.7643,['IN']
153493,2011-05-19-069460,"the 2011 magnitude 9.0 tohoku-oki earthquake: mosaicking the megathrust from seconds to centuries,",donald v. helmberger,Q57970267,2011-05-19 04:00:00,2,"['http://eurekalert.org/pub_releases/2011-05/ciot-crr051811.php'
 'http://pasadenanow.com/main/caltech-researchers-release-first-large-study-of-recent-90-tohoku-oki-earthquake']",C,0.2361,['US']
