,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
2950,2008-10-23-056487,"these promotions appear when we launch a major product or service that users might be interested in, or to support a cause that users care about, including the may sichuan earthquake relief efforts. because these promotions appear on our home page for only a few days at a time, we don't consider them in our official home page word count.",larry page,Multiple,2008-10-23 00:21:14,1,['http://informationweek.com/news/showArticle.jhtml?articleID=211300575&cid=RSSfeed_IWK_News'],A,0.7203,['US']
41948,2008-12-19-041722,"the may 12 earthquake that struck wenchuan county in sichuan province brought major impacts to the wolong china conservation and research center, which is located near the epicenter,",zhou xiaoping,Q18415704,2008-12-19 02:17:01,1,['http://sandiego6.com:80/news/local/story/New-Panda-Agreement-Keeps-Zoo-Favorites-in-San/RzY6HsyJYEagZzo9TDxSLA.cspx?rss=800'],A,0.5887,['US']
2450,2008-11-21-044738,"the government's investment will encourage all kinds of investment from society to help us rebuild sichuan after the quake,",wei hong,Multiple,2008-11-21 18:28:12,1,['http://traxfer.ft.com/cms/s/0/cb0fcf84-b7bc-11dd-ac6d-0000779fd18c.html?o=%2Frss%2Fworld'],A,0.5552,['UK']
45181,2008-10-10-034017,merrill lynch is honored to play a part in the continuing efforts to rebuild the areas devastated by the sichuan earthquake.,None,,2008-10-10 08:09:45,2,"['http://hk.rd.yahoo.com/news/rss/*http://hk.news.yahoo.com/article/081010/10/8n89.html'
 'http://prnewswire.com/cgi-bin/stories.pl?ACCT=109&STORY=/www/story/10-10-2008/0004901787&EDATE=']",A,0.5609,['US']
23037,2008-11-10-046190,"the quake... left more than five million homeless as whole villages were razed, 1.5 million people in sichuan lost their jobs. in the hardest hit areas, more than 80 percent are unemployed.",khalid malik,Multiple,2008-11-10 03:39:00,2,"['http://us.rd.yahoo.com/dailynews/rss/asia/*http://news.yahoo.com/s/afp/20081110/wl_asia_afp/chinaquakesichuan'
 'http://channelnewsasia.com/stories/afp_asiapacific/view/388801/1/.html']",A,0.7383,['US']
118300,2008-09-02-074981,"we saw more openness after the sichuan earthquakes, but the fundamental system remains the same.",adam segal,Q26703668,2008-09-02 00:39:00,3,"['http://myspace.com//lordannu/blog/429393899'
 'http://blog.myspace.com/index.cfm?fuseaction=blog.view&friendID=113948334&blogID=429393899'
 'http://blogs.myspace.com/index.cfm?fuseaction=blog.view&friendId=113948334&blogId=429393899']",A,0.6528,['US']
137164,2008-11-22-008292,"he is the second cyber-dissident to be convicted this year by a chengdu court, following huang qi, who was arrested on 10 june because of his online articles criticising the management of humanitarian aid after the 12 may earthquake in sichuan. by jailing internet users in this fashion, the authorities have once again shown they are unable to handle criticism.",chen daojun,Q2962584,2008-11-22 12:10:26,1,['http://chinaview.wordpress.com/2008/11/22/china-essayist-gets-three-years-in-prison-for-tibet-related-articles/'],A,0.5397,['US']
92471,2008-11-08-008311,"i want to say a personal thank you to everyone who has made this race possible. there has been a lot of hard work done to bring the track up to the correct standard and i think the result is amazing. we realise the people of this province went through many traumas due to the earthquake, and hope we can highlight their plight and also help by contributing to the sichuan earthquake relief fund.",tony teixeira,Q2442881,2008-11-08 11:47:15,1,['http://pitpass.com/fes_php/pitpass_news_item.php?fes_art_id=36549'],A,0.5563,['AS']
21398,2008-10-01-042553,"rain, mudslides and an anticipated flood could do what the sichuan earthquake couldn't - wipe out beichuan from the face of the earth.",alexander the great,Q51883206,2008-10-01 13:08:39,1,['http://brianbarrons.typepad.com/my_weblog/2008/10/national-day-in-china-october-1-1949--october-1-2008.html'],A,0.9085,['US']
33260,2008-09-06-016217,"i'd also like to take this opportunity to thank you and other iranian leaders for the assistance your government provided for the chinese people affected by the may 12 sichuan earthquake,",hu jintao,Q15029,2008-09-06 13:27:42,1,['http://dnaindia.com/report.asp?newsid=1188155'],A,0.5778,['IN']
73298,2008-11-27-006645,"during the sichuan earthquake, we did reports which the local propaganda department did not sign off on. we still went and reported though,",wang liang,Multiple,2008-11-27 06:14:20,1,['http://uk.news.yahoo.com/22/20081127/tpl-uk-china-media-4b8df73.html'],A,0.63,['US']
101397,2008-10-22-054049,"these promotions appear when we launch a major product or service that users might be interested in, or to support a cause that users care about, including the may sichuan earthquake relief efforts. because these promotions appear on our homepage for only a few days at a time, we don't consider them in our official homepage word count.",larry page,Multiple,2008-10-22 21:12:48,1,['http://informationweek.com/news/internet/google/showArticle.jhtml?articleID=211300575&cid=RSSfeed_IWK_ALL'],A,0.5313,['US']
99149,2008-11-06-018507,"i don't know when i lost my faith in life, and felt the fear and insecurity of the solitary life. the sichuan earthquake enhanced that,",hao liang,Multiple,2008-11-06 22:48:16,1,['http://thestandard.com.hk/news_detail.asp?we_cat=16&art_id=73979&sid=21350003&con_type=1&d_str=&fc=10'],A,0.7022,['HK']
