,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
119010,2008-12-09-047051,there are no other such peaks in eruptions rates in southern chile that are not associated with large earthquakes.,david pyle,Q55487791,2008-12-09 00:32:08,1,['http://sciencenow.sciencemag.org/cgi/content/full/2008/1208/2?rss=1'],A,0.7411,['US']
34942,2008-12-02-051325,"the media are out to make a profit. and as we know, `small earthquake in chile, not many dead' , is not news. but if the media can say that `xy' was an informer or that he got divorced or raped someone, they will do it because it brings them profit. and to some media profit matters more than substance or truth.",vaclav havel,Q36233,2008-12-02 12:00:33,1,['http://signandsight.com/features/1800.html'],A,0.2923,['GM']
68977,2008-12-09-051374,"this work is important because it shows that the risk of volcanic eruption increases dramatically following large earthquakes in parts of the world, such as chile, affected by these phenomena,",sebastian watt,Q58926315,2008-12-09 09:34:16,1,['http://in.news.yahoo.com/139/20081209/981/tsc-quakes-can-trigger-volcano-explosion.html'],A,0.5516,['US']
32595,2008-12-08-039707,small earthquake in chile: not many dead.,None,,2008-12-08 02:14:29,25,"['http://azsnakepit.com/2008/12/7/684087/all-quiet-on-the-nl-wester'
 'http://onlineopinion.com.au/view.asp?article=8296'
 'http://slate.com/id/2246332/?from=rss'
 'http://slate.com/id/2246332/pagenum/all/'
 'http://network.nationalpost.com/NP/blogs/fullcomment/archive/2010/03/02/christopher-hitchens-long-live-democratic-seismology.aspx'
 'http://huffingtonpost.com/frances-mcinnis/the-vancouver-games-the-s_b_484827.html'
 'http://slate.com/id/2246332/'
 'http://chicagopressrelease.com/news/worthwhile-journalism-initiative-richard-adams'
 'http://nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10701328&ref=rss'
 'http://canadafreepress.com/index.php/site/article/ten-fracking-things-everyone-should-know/'
 'http://counterpunch.org/2012/02/03/goodbye-to-afghanistan/?utm_source=rss&utm_medium=rss&utm_campaign=goodbye-to-afghanistan'
 'http://www.counterpunch.org/2012/02/03/goodbye-to-afghanistan/'
 'http://opendemocracy.net/ourkingdom/stuart-weir/tuc-london-march-and-rally-no-match-for-coming-catastrophe'
 'http://opendemocracy.net/ourkingdom/stuart-weir/small-earthquake-in-britain-devastates-economy'
 'http://www.courier.co.uk/hasn-t-rained-lawn-lake/story-20912514-detail/story.html'
 'http://cei.org/content/earthquake-europe'
 'http://independent.co.uk/voices/letters/camerons-europe-reform-drive-in-deep-trouble-9565665.html'
 'http://www.independent.ie/irish-news/courts/no-point-in-rte-broadcasting-anonymised-report-on-denis-obrien-banking-affairs-court-told-31222264.html'
 'http://www.irishmirror.ie/news/irish-news/denis-o-brien-rte-report-5697132'
 'http://irishtimes.com/business/media-and-marketing/no-point-in-anonymising-denis-o-brien-report-says-rté-1.2212517'
 'http://www.stuff.co.nz/southland-times/opinion/71603498/Home-help-for-seniors-may-be-at-risk-letter'
 'https://www.conservativehome.com/thetorydiary/2019/11/the-campaign-week-two-small-earthquake-in-chile-not-many-dead.html'
 'https://www.conservativehome.com/parliament/2019/11/election-battlegrounds-5-the-north-east.html'
 'https://www.conservativehome.com/platform/2019/11/lord-ashcroft-my-next-three-focus-groups-in-labour-held-leave-voting-constituencies.html'
 'https://www.conservativehome.com/thetorydiary/2019/11/childcare-policy-should-support-all-parents-with-children-not-just-those-who-work-in-the-labour-market.html']",A,0.4728,['EI' 'UK' 'AS' 'NZ' 'US' 'CA']
90382,2008-12-09-039075,"small earthquake in chile, not many hurt",gwynne dyer,Q5623883,2008-12-09 02:16:17,3,"['http://trinidadexpress.com/index.pl/article_opinion?id=161410812'
 'http://woodstocksentinelreview.com/ArticleDisplay.aspx?e=1339116'
 'http://feeds.theguardian.com/c/34708/f/663854/s/37fec14a/sc/38/l/0L0Stheguardian0N0Clifeandstyle0C20A140Cmar0C10A0Chow0Emuch0Enews0Eis0Etoo0Emuch0Enews/story01.htm']",A,0.6057,['CA' 'UK' 'TD']
173032,2009-10-01-080330,"the earthquake magnitude and deformation were much less than in the rare huge earthquakes of magnitude 9.0 and higher, such as that off chile in 1960, and the boxing day 2004 earthquake off sumatra,",gary gibson,Multiple,2009-10-01 02:08:23,1,['http://news.bbc.co.uk/1/hi/science/nature/8282255.stm'],A,0.5561,['UK']
179789,2009-10-20-070594,"the earthquake in chile,",eric rohmer,Q50764,2009-10-20 22:45:20,6,"['http://publishersweekly.com/article/CA6702296.html?nid=3336'
 'http://online.wsj.com/article/SB10001424052748704107604574608450589455012.html?mod=rss_opinion_main'
 'http://abluteau.wordpress.com/2009/12/21/the-dark-side-of-enlightenment/'
 'http://themillions.com/2010/03/country-of-quakes.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+themillionsblog%2Ffedw+%28The+Millions%29'
 'https://themillions.com/2018/08/what-do-they-want-from-us-on-the-return-of-big-bookstore-chains.html'
 'https://lareviewofbooks.org/article/text-and-texture/']",A,0.5758,['US']
177675,2009-09-30-083245,"unlike the rockies, the appalachians, or even the alps, the andes are a rising mountain range, which increases the incidence of earthquakes and a proliferation of active volcanoes. these destructive forces lay down an incessant wrath upon the infrastructural plans of latin american leaders, from mexico to chile.",president bush,Multiple,2009-09-30 17:34:32,1,['http://coha.org/the-great-barrier-to-latin-american-integration-and-how-to-rise-above-it/'],A,0.7155,['US']
151185,2009-04-05-052400,"we are very fortunate to receive contributions and overwhelming support from people in fiji during natural disasters. i'd like to thank the people of fiji for their support and contributions. despite the hard times, it's a good sign to see that some people still have that strong bond. fiji is vulnerable to earthquakes as we lie along the fault line that goes through new zealand, tonga, fiji, vanuatu, solomons, whole of indonesia, japan, philippines, alaska, west coast of america, central america and chile.",joeli cawaki,Q18217463,2009-04-05 02:24:46,1,['http://fijitimes.com/story.aspx?id=118516'],A,0.5799,['FJ']
4496,2010-10-13-031839,"i hope the miners' hope stay with us, just like the [ february ] earthquake victims' [ hope ] and what the earthquake took off. we know that the disasters unite us all? cela va marquer? jamais les c?urs de chaque chilien,? a ajout? le pr?sident chilien including a miner and a paramedical, descended to the miners' shelter using the f?nix 3 capsule which was specially constructed for the rescue. they performed check-ups and talk with the miners before taking them back to the comprenant un mineur et un m?decin, sont descendus dan la cavit? des mineurs pris au pi?ge en utilisant la capsule f?nix 3 qui a? t? constuite sp?cialement pour le sauvetage the occupants helmets contain an intercom to keep them in contact with the rescue team on the m?tres de haut et p?se 460 kilogrammes? oxyg?ne et un microphone. le casque des occupants contient un interphone pour garder le contact avec l'? quipe de secours? la president of chile | president of chile assisted to the rescue. bolivian president [ [ w: evo morales | evo morales ] ] could not attend [ [ #carlos mamani | carlos mamani ] ]'s rescue. mamani is the only bolivian miner in the group pr?sident du chili ] ] [ [ w: sebasti?n pi?era | pi?era ] ] a assist? aux op?rations. le pr?sident bolivien [ [ w: evo morales | evo morales ] ] ne pouvait pas? tre pr?sent au sauvetage de [ [ #carlos mamani | carlos mamani ] ]. mamani est le seul mineur bolivien du groupe. a mass for the miners was conducted at 18:00 local time (21:00 utc). the rescue takes between 15 and 20 minutes for each miner. laurence golborne, ministre des mines du chili. sebasti?n pi?era e.. les secours des mineurs chiliens pi?g?s dans la mine de san jos?? copiap? ont commenc? durant la nuit de mardi, au alentour de 20:00 heure locale (23:00 utc). florencio? valos? tait le premier mineur?? tre secouru,? 00:12 heure locale (03:12 utc) mercredi. il? tait v?tu d'un t-shirt sign? par tout ses compagnons d'infortune.? le premier mineur est d?j? parmi nous. nous avons tous vu cela, lui en train de serrer dans ses bras sa femme monica et son fils byron,? a d?clar? le pr?sident pi?era peu de temps apr?s le premier sauvetage.? nous avons encore une longue journ?e.?? cela va marquer? jamais les c?urs de chaque chilien,? a ajout? le pr?sident chilien.? nous savons que les d?sastres nous unissent tous.",jos ? henr?quez,Multiple,2010-10-13 22:01:06,1,"['http://fr.wikinews.org/w/index.php?title=Copiap%C3%B3,_Chile_mining_accident:_in_depth&diff=235378&oldid=prev']",C,0.9115,['US']
