,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
200657,2009-10-11-039246,"today i announce an australian commitment of a $17 million (us $15.3 million) to help the people of indonesia rebuild after the earthquakes, a $12 million for west sumatra and a $5 million for west java,",stephen smith,Multiple,2009-10-11 21:00:10,1,['http://channelnewsasia.com/stories/afp_asiapacific/view/1010695/1/.html'],A,0.7409,['US']
199082,2009-10-01-045048,"indeed, when asked whether we need foreign assistance after the west java quake, we [ said ] it wasn't necessary because it was of a scale we could still handle,",susilo bambang yudhoyono,Q57405,2009-10-01 16:52:26,1,['http://thejakartapost.com/news/2009/10/01/aid-quake-relief-welcome-yudhoyono.html'],A,0.5285,['ID']
136069,2009-10-02-106378,"when asked whether we need foreign assistance after the west java quake... it wasn't necessary because it was of a scale we could still handle,",susilo bambang yudhoyono,Q57405,2009-10-02 04:35:11,1,['http://thejakartapost.com/news/2009/10/02/sby-welcomes-aid-victims.html'],A,0.5445,['ID']
