,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
110678,2008-10-29-030777,"like aceh, cascadia has a history of tsunamis that are both infrequent and catastrophic, and that originate during earthquakes that provide a natural tsunami warning,",brian atwater,Q4963006,2008-10-29 18:20:34,5,"['http://newswise.com/articles/view/545772/?sc=rssn'
 'http://sciencecodex.com/scientists_find_evidence_of_tsunamis_on_indian_ocean_shores_long_before_2004'
 'http://eurekalert.org/pub_releases/2008-10/uow-sfe102708.php'
 'http://yubanet.com/scitech/Scientists-find-evidence-of-tsunamis-on-Indian-Ocean-shores-long-before-2004.php'
 'http://sciencedaily.com/releases/2008/10/081029141037.htm']",A,0.2821,['US']
161964,2009-02-20-025746,"i very much appreciate unicef's efforts in constructing safe and appropriate schools for our children. aceh and nias may be the only places in indonesia with a large number of earthquake resistant and child friendly public school buildings,",kuntoro mangkusubroto,Q12492968,2009-02-20 22:39:15,1,['http://reliefweb.int/rw/rwb.nsf/db900SID/EGUA-7PFNF5?OpenDocument&RSS20=18-P'],A,0.6916,['SY']
211174,2009-10-12-080915,"the water purification plant is a capability that the indonesian authorities have specifically requested. it is a tested capability-with a similar plant providing support to flood-affected queenslanders earlier this year as well as being previously deployed to banda aceh following the tsunami and earthquake in december, 2004,",chief of joint operations,Q5097027,2009-10-12 03:56:26,1,['http://blogs.myspace.com/index.cfm?fuseaction=blog.view&friendId=172770502&blogId=513662695'],A,0.4682,['US']
153280,2009-02-11-087729,"when a devastating tsunami and earthquake hit aceh and nias, australia helped indonesia a lot through military humanitarian operations,",kevin rudd,Q43135,2009-02-11 09:04:53,1,['http://thejakartapost.com/news/2009/02/11/president-yudhoyono-expresses-sympathy-australian-pm.html'],A,0.3675,['ID']
62114,2010-01-13-064677,"our expertise is recognised by the united nations, demonstrated through deployment to banda aceh to assist in the aftermath of the 2004 boxing day tsunami and most recently to samoa where our urban search and rescue crews assisted nsw doctors to get communities affected by an earthquake back on their feet.",greg mullins,Q5606045,2010-01-13 23:05:09,1,['http://fire.nsw.gov.au/news.php?news=1514'],A,0.6017,['AS']
37327,2010-01-22-098234,we have learnt from previous disasters like the earthquake and tsunami in aceh and also the yogyakarta earthquake when the channeling of donations has been not well-organized.,lukita dinarsyah tuwo,Q12495549,2010-01-22 03:58:41,1,['http://thejakartapost.com/news/2010/01/22/govt-pools-foreign-aid-reconstruct-w-sumatra.html'],A,0.7516,['ID']
112716,2010-02-27-013503,"he really embodied what it is to be.. network recruiters kevin butler tv spot, mlb 10: the show: vp, playstation 3 softball team. 6 minutes ago review: aliens vs predator: facehugging with your console. 6 minutes ago the rps bargain bucket: serious indie: this week's bucket is early, because i am away in birmingham seeing a bunch... 6 minutes ago just cause 2: mid-air sabotage: ever fancied wing-walking? with explosives! 6 minutes ago ncsoft announces a guild wars tie-in novel: ncsoft announced a guild wars book tie-in with the upcoming guild wars... 7 minutes ago cnn: tsunami warning in pacific after chile quake 7 minutes ago lawmaker: toyota withheld key evidence: a house lawmaker says internal toyota documents show the automaker deli.. 8 minutes ago one sided... and a bird. seriously.: one sided... and a bird. seriously.i'm bloody dr. dolittle. let me kno.. 8 minutes ago soaring mortgage defaults may kill the housing recovery: delinquencies, foreclosure like to put a damper on 201.. 8 minutes ago playstation 3 | major league baseball 2k10 pitchers vs. hitters-bailey vs. cruz: andrew bailey and nelson cru.. 8 minutes ago you can never have enough 3d dot game heroes screens: 3d dot game heroes is out in may and it's easily one of m.. 8 minutes ago lara croft vs slave leia in a snowball fight: function getvideo () {var so = new swfobject (",gary cooper,Multiple,2010-02-27 15:42:22,1,['http://newyorkrecruiters.wordpress.com/2010/02/27/10886/'],A,0.2836,['US']
185539,2012-04-11-073469,"the quake jolted southwest aceh. i have talked to the aceh military commander and he said the situation was under control, even though the quake caused panic,",david cameron,Multiple,2012-04-11 11:19:45,1,['http://thejakartapost.com/news/2012/04/11/no-reports-casualties-so-far-president-says.html'],C,0.4074,['ID']
171391,2012-05-31-100419,"we've been focusing on tsunami risks since 2004, when the banda-aceh earthquake and tsunami led to a loss of about 250,000 lives, and then the 2011 tohoku-oki earthquake and tsunami claimed another 20,000 or so people and caused a nuclear disaster,",alan boyle,Q4706226,2012-05-31 16:45:18,1,['http://msnbc.msn.com/id/47632666/ns/technology_and_science-science/'],C,0.528,['US']
140779,2012-04-12-073470,"the buildings in aceh are now stronger because the government has set certain standards that oblige contractors to ensure anti-earthquake aspects are put in place,",sutopo purwo nugroho,Q19742607,2012-04-12 19:28:23,5,"['http://mnn.com/earth-matters/wilderness-resources/stories/5-died-in-massive-indonesian-quake'
 'http://.canada.com/nanaimodailynews/news/story.html?id=6454544'
 'http://iol.co.za/news/world/indonesia-revises-quake-toll-1.1275904'
 'http://news24.com/World/News/Indonesia-revises-quake-death-toll-20120413'
 'http://thebalitimes.com/2012/04/16/five-died-in-massive-sumatra-earthquakes/?utm_source=rss&utm_medium=rss&utm_campaign=five-died-in-massive-sumatra-earthquakes']",C,0.6287,['SF' 'US' 'CA' 'ID']
