,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
59098,2008-11-15-005997,"for icelanders, the golden years were the early years, shortly after the land was settled in the ninth century. the viking tradition, the althing -- the legislative assembly dating to 930 -- and the literary canon of sagas and eddas are the nation's cultural bedrock. but after that, iceland almost disappears from the history books. while the agricultural revolution, the renaissance, the industrial revolution came and went, while the fine cities of europe were being built, while artists from michelangelo to mozart were pouring forth their creations, while the great inventions and discoveries were being invented and discovered, icelanders were hunkering down in their turf houses, meeting the hardest challenge of all -- survival. they survived plague, famine, earthquakes and volcanoes. there were times when some even considered abandoning the island. but they stayed on. they stayed and survived. icelanders will tell you that only the fittest survived, but that is only half the story, because survival requires another key attribute: stubbornness. and icelanders have it in spades. it is a national trait, and they view it not as a weakness but as a virtue. it comes from experiencing hardship and enduring it. it means finding satisfaction in a simple task done well and sticking to it; finding comfort and solace in family and kinship and being bound by those familial bonds and duties. and perhaps most important of all, it means believing in the independence of the individual as part of the fabric of nationhood, and fighting for that independence. put simply, the country has values. and this is what sets this catastrophe apart from the earthquakes and plagues of former years. this is a man-made disaster and worse still, one made by a small group of icelanders who set off to conquer the financial world, only to return defeated and humiliated. the country is on the verge of bankruptcy and, even more important for those of viking stock, its international reputation is in tatters. it hurts. (...) we live now in a foreign-currency lockdown, and although the government has assured everyone that there are sufficient reserves to buy essentials such as oil, grain and medical supplies for the winter, such assurances only serve to create a further sense of unease in a people who have learnt to take such commodities for granted.",anne sibert,Q29570538,2008-11-15 00:51:04,2,"['http://washingtonmonthly.com/archives/individual/2008_11/015672.php'
 'http://obsidianwings.blogs.com/obsidian_wings/2008/11/iceland.html']",A,0.385,['US' 'MZ']
191064,2009-10-08-091445,"this sequence is not abnormal for a plate boundary and whilst it is not possible to guess where earthquakes will happen in the near future, countries from papua new guinea to new zealand would probably be wise to dust off their response plans,",bill griggs,Q4909227,2009-10-08 12:00:25,1,"['http://news.com.au/adelaidenow/story/0,22606,26184360-2682,00.html?from=public_rss']",A,0.6037,['AS']
113217,2010-11-07-039345,"she may not have felt the earth move under her feet, but as her plane landed friday in christchurch, n.z., the city was hit by an aftershock from a 7-magnitude quake that struck in september. two days earlier, as she wrapped up a visit to papua new guinea, a 6.0-magnitude quake rattled villages there. these seismic events were at least the third and fourth to have hit countries while ms. clinton was visiting. on her first trip abroad as america's top diplomat in february, 2009, she was shaken awake by a minor quake in japan. four months later, she felt a 5.0 quake in honduras. then, in october, 2009, tremors struck pakistan while ms. clinton was there.",jeffrey zaslow,Q4353515,2010-11-07 21:00:00,1,['http://theglobeandmail.com/life/facts-and-arguments/earthquakes-hit-when-hillary-rodham-clinton-visits/article1787855/?cmpid=rss1'],C,0.5538,['CA']
1335,2011-03-11-079263,"tsunami alert for new zealand, the philippines, indonesia, papua new guinea, hawaii, and others. waves expected over the next few hours, caused by 8.9 earthquake in japan.",None,,2011-03-11 10:24:18,5,"['http://techwatch.co.uk/2011/03/11/google-puts-out-tsunami-alerts-cripples-google-com/'
 'http://channelnewsasia.com/stories/afp_asiapacific/view/1115851/1/.html'
 'http://telegraph.co.uk/news/worldnews/asia/japan/8376415/Japan-earthquake-Google-warns-users-of-coming-tsunamis.html'
 'http://hollywoodreporter.com/news/tsunami-warnings-effect-west-coast-166893'
 'http://hollywoodreporter.com/news/sony-sharp-sanyo-panasonic-stop-166893']",C,0.3134,['US' 'UK']
130856,2012-05-21-061249,"the mother said, with a thread of voice, `find him. so melissa can rest in peace.' i've seen suffering many times. but to see it so strong, so irreparable. i swear, seeing that woman, i saw michelangelo's say hello to an extraterrestrial ocean - and maybe extraterrestrial life are all of the world's subway systems starting to look the same? cher's style evolution: from bedazzled to bold and everything in between (photos) solar eclipse pictures: images from sunday's astronomical event (photos) photos: earthquake in northeast italy kills 4, cracks bell towers graduation season is upon us: notable 2012 commencement speeches (thus far) the passing of the lockerbie bomber: have more secrets died in libya? a monstrous act in brindisi: why was an italian girls school bombed? chinese activist takes up residence in new york city's greenwich village i listen to all the criticism, i'm not living in some cut off world.",david cameron,Multiple,2012-05-21 04:30:00,1,"['http://time.com/time/world/article/0,8599,2115290,00.html?xid=rss-topstories']",C,0.2709,['US']
40012,2012-04-17-064080,"that northern part of papua new guinea is subject to quite strong earthquakes reasonably frequently,",clive collins,Q53945123,2012-04-17 08:02:08,4,"['http://au.news.yahoo.com/a/-/business/13452840/7-0-magnitude-quake-hits-off-papua-new-guinea-usgs/'
 'http://mysinchew.com/node/72644'
 'http://sbs.com.au/news/article/1643215/Huge-quake-hits-off-PNG-coast'
 'http://channelnewsasia.com/stories/afp_asiapacific/view/1195770/1/.html']",C,0.5958,['US' 'MY' 'AS']
212104,2012-05-21-061250,"the mother said, with a thread of voice, `find him. so melissa can rest in peace.' i've seen suffering many times. but to see it so strong, so irreparable. i swear, seeing that woman, i saw michelangelo's say hello to an extraterrestrial ocean - and maybe extraterrestrial life cher's style evolution: from bedazzled to bold and everything in between (photos) solar eclipse pictures: images from sunday's astronomical event (photos) photos: earthquake in northeast italy kills 4, cracks bell towers graduation season is upon us: notable 2012 commencement speeches (thus far) the passing of the lockerbie bomber: have more secrets died in libya? a monstrous act in brindisi: why was an italian girls school bombed? chinese activist takes up residence in new york city's greenwich village i listen to all the criticism, i'm not living in some cut off world.",david cameron,Multiple,2012-05-21 08:20:01,1,"['http://time.com/time/world/article/0,8599,2115290,00.html?xid=rss-topstories&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+time%2Ftopstories+%28TIME%3A+Top+Stories%29']",C,0.2709,['US']
159576,2013-08-16-062647,"The thing that makes me nervous about that is it usually gets pretty loose and things are said and done like Jeff Gordon break dancing. Once it is done I kinda think, man, as that okay? The fans seem to enjoy it. The website is NASCARAfterTheLap.com and someone is going to win a 2014 F-150 Tremor truck.",Carl Edwards,Q704008,2013-08-16 18:55:49,1,['http://paddocktalk.com/news/html/modules.php?op=modload&name=News&file=article&sid=231151&newlang=&topic=11&catid=21'],D,0.5192,['US']
37443,2013-08-16-064191,"There is a sweepstakes and you go to NASCARAfterTheLap.com and you can win a 2014 Tremor, which is a pretty awesome truck. Each year, that is one of the neatest parts, they give someone the truck right there in front of the crowd and it is spectacular.",Carl Edwards,Q704008,2013-08-16 18:55:49,1,['http://paddocktalk.com/news/html/modules.php?op=modload&name=News&file=article&sid=231151&newlang=&topic=11&catid=21'],D,0.7301,['US']
78365,2013-01-18-065226,"the neighborhood surrounding the phelan building at 760 market is the epicenter of this trend-it is attracting wave after wave of tech leaders who can live, work and play and take communications to unimagined heights. i can't wait to see what happens next.",joseph sitt,Q16195808,2013-01-18 16:39:00,3,"['http://istockanalyst.com/article/viewarticle/articleid/6243774'
 'http://sys-con.com/node/2518425'
 'http://globest.com/news/12_526/sanfrancisco/office/Thor-Equities-Thinks-San-Fran-CRE-is-White-Hot-329163.html']",C,0.4211,['US']
152293,2014-03-10-081149,"We take great pride in providing work for more than 1100 people in seismic and drilling, with another 300 expected to be taken on later this year. We are delighted that our commitment to the country has been recognized through the continued support of the National and Provincial Governments, and Mr. Duban, the newly appointed Petroleum and Energy Minister, as we work to develop resources for the benefit of all Papua New Guineans and our shareholders.",None,,2014-03-10 12:30:00,1,['http://www.prnewswire.com/news-releases/interoil-begins-drilling-wahoo-1-249265631.html'],D,0.8717,['US']
72844,2015-10-29-093436,"Residents of Matta, Kabal, and Khwazakhela tehsils have urged the government to declare their region an earthquake-affected zone and provide assistance to them,",Jamil Khan,Multiple,2015-10-29 06:31:22,1,['http://tribune.com.pk/story/981026/in-the-aftermath-roads-re-open-in-kalam/'],E,0.5138,['PK']
4882,2015-03-30-017291,"hazardous tsunami waves are possible for coasts located within 1,000 km (620 miles) of the earthquake epicenter along the coasts of Papua New Guinea and the Solomon Islands.",None,,2015-03-30 00:16:48,5,"['http://news.yahoo.com/major-7-7-quake-strikes-off-papua-guinea-001648432.html'
 'http://www.huffingtonpost.com/2015/03/29/papua-new-guinea-tsunami-_n_6966012.html'
 'http://jpost.com/Breaking-News/Tsunami-warning-issued-in-Papua-New-Guinea-after-major-77-earthquake-hits-395541'
 'http://bdnews24.com/world/2015/03/30/major-7.7-quake-strikes-off-papua-new-guinea-tsunami-warning-issued'
 'http://standardmedia.co.ke/article/2000156606/major-7-7-quake-strikes-off-papua-new-guinea-tsunami-warning-issued']",E,0.9074,['KE' 'US' 'IS' 'BG']
199456,2015-03-30-017292,"Hazardous tsunami waves are possible for coasts located within 1,000 km (620 miles) of the earthquake epicentre along the coasts of Papua New Guinea and the Solomon Islands",None,,2015-03-30 00:36:45,5,"['http://stuff.co.nz/world/asia/67551264/magnitude-77-quake-hits-near-papua-new-guinea'
 'http://www.trust.org/item/20150330001529-u7xv7/'
 'http://www.stuff.co.nz/world/asia/67551264/Magnitude-7-5-quake-hits-near-Papua-New-Guinea'
 'http://www.pardaphash.com/news/earthquake-measuring-77-magnitude-jolts-papua-guinea-tsunami-warning-issued/766957.html'
 'http://www.worldbulletin.net/haberler/157139/77-quake-strikes-off-papua-new-guinea-tsunami-warning-issued']",E,0.697,['TU' 'IN' 'NZ' 'US']
25507,2015-09-20-039385,"Our main project site is Nepal - the village of Chitre in Helambu. Chitre had a small basic health post that collapsed in the April earthquake. The village has a few hundred people but the surrounding valley had up to five thousand who have limited to no access to health care,",Steve Whitfield,Q28741303,2015-09-20 14:00:00,2,"['http://www.news-mail.com.au/news/it-was-an-idea-that-had-been-burning-inside-of-bar/2780614/'
 'http://frasercoastchronicle.com.au/news/it-was-an-idea-that-had-been-burning-inside-of-bar/2780614/']",E,0.8846,['AS']
