,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
41067,2013-04-22-005464,"as the impact of lushan quake [ on saturday ] is limited to only a couple of counties in remote mountainous areas with small populations (in total about 300,000), we expect the rebuilding need is relatively small,",ping an,Multiple,2013-04-22 03:21:31,3,"['http://marketwatch.com/news/story.asp?guid=%257B0D97D598-AAEA-11E2-BA04-002128040CF6%257D&siteid=rss&rss=1'
 'http://foxbusiness.com/news/2013/04/21/asia-markets-japan-stocks-soar-as-yen-drops-shanghai-slips/'
 'http://feeds.foxbusiness.com/%7Er/foxbusiness/latest/%7E3/stf2i_s0_Yw/']",C,0.5961,['US']
153945,2013-04-22-090504,"xinhua news agency says the first team of rescue workers arrived in baoxing [ county ] monday. authorities say the road was cut off by an aftershock-triggered landslide. state media say hard-hit parts of lushan county were also not reachable by road, with phone services cut off. but rescuers have since dynamited highways to clear landslide debris, allowing heavy equipment to reach affected areas, and electricity and phone services have been restored to thousands of people.",reese witherspoon,Q44063,2013-04-22 15:09:00,3,"['http://npr.org/blogs/thetwo-way/2013/04/22/178405452/rescuers-struggling-to-reach-areas-of-china-hit-by-quake?ft=1&f='
 'http://npr.org/blogs/thetwo-way/2013/04/22/178405452/rescuers-struggling-to-reach-areas-of-china-hit-by-quake?ft=1&f=1001'
 'http://kosu.org/2013/04/rescuers-struggling-to-reach-areas-of-china-hit-by-quake/']",C,0.526,['US']
160823,2013-07-17-035060,"Indeed we already noticed that, over the past three weeks, the government has geared up its support for urban low-quality housing reconstruction, SME financing, Lushan post-quake rebuilding, energy saving, environmental protection, IT, photovoltaic industries,",Li Wei,Multiple,2013-07-17 08:54:47,11,"['http://uk.reuters.com/article/2013/07/17/china-economy-policy-idUKL4N0FN0EF20130717?feedType=RSS&feedName=rbssFinancialServicesAndRealEstateNews'
 'http://uk.news.yahoo.com/chinas-premier-holds-line-reforming-085650455.html'
 'http://au.news.yahoo.com/a/-/business/18037436/chinas-premier-holds-the-line-on-reforming-economy/'
 'http://uk.reuters.com/article/2013/07/17/uk-china-economy-policy-idUKBRE96G0CK20130717?feedType=RSS&feedName=businessNews'
 'http://finance.yahoo.com/news/chinas-premier-holds-line-reforming-085827852.html'
 'http://feeds.reuters.com/~r/reuters/businessNews/~3/kNbIsj2iWSU/story01.htm'
 'http://in.reuters.com/article/2013/07/17/china-economy-policy-idINDEE96G09W20130717?feedType=RSS&feedName=businessNews'
 'http://www.theglobeandmail.com/report-on-business/international-business/asian-pacific-business/chinas-premier-holds-the-line-on-reforming-economy/article13271612/?cmpid=rss1'
 'http://ca.finance.yahoo.com/news/chinas-premier-holds-line-reforming-094130123.html'
 'http://uk.reuters.com/article/2013/07/17/uk-china-economy-policy-idUKBRE96G0CK20130717'
 'http://gulfnews.com/business/economy/china-premier-li-keqiang-urges-caution-about-rushing-to-change-policy-1.1210426']",D,0.8894,['AE' 'CA' 'US']
166637,2013-04-20-034457,"the earthquake in ya'an, lushan, has injured or killed hundreds of people,",xi jinping,Q15031,2013-04-20 01:32:08,20,"['http://abc.net.au/news/2013-04-20/hundreds-feared-dead-after-quake-hits-china/4641098'
 'http://abc.net.au/news/2013-04-20/hundreds-feared-dead-after-quake-hits-china/4641098?section=world'
 'http://my.news.yahoo.com/hundreds-dead-injured-china-quake-024409346.html'
 'http://sg.news.yahoo.com/hundreds-dead-injured-china-quake-024409346.html'
 'http://au.news.yahoo.com/latest/a/-/latest/16815908/hundreds-dead-or-injured-in-china-quake/'
 'http://thenews.com.pk/article-97591-Hundreds-dead-or-injured-in-China-quake'
 'http://mysinchew.com/node/85575'
 'http://thedailystar.net/beta2/rss-detail-news/?newsid=36382'
 'http://scmp.com/news/china/article/1219017/hundreds-dead-or-injured-sichuan-quake'
 'http://au.news.yahoo.com/a/-/world/16816839/hundreds-dead-or-injured-in-china-quake/'
 'http://theborneopost.com/2013/04/20/hundreds-dead-or-injured-in-china-quake/'
 'http://au.news.yahoo.com/world/a/-/world/16816839/hundreds-dead-or-injured-in-china-quake/'
 'http://defence.pk/forums/central-south-asia/246985-hundreds-feared-dead-injured-strong-earthquake-hits-china.html'
 'http://channelnewsasia.com/news/asiapacific/forty-six-killed-in-china/644812.html'
 'http://gulfnews.com/hundreds-dead-or-injured-in-china-earthquake-1.1172622?localLinksEnabled=false&utm_source=Feeds&utm_medium=RSS&utm_term=Most_viewed_RSS_&utm_content=1.1172622&utm_campaign=Hundreds_dead_or_injured_in_China_earthquake'
 'http://brecorder.com/top-news/1-front-top-news/116092-hundreds-dead-or-injured-in-china-quake.html'
 'http://mysinchew.com/node/85583'
 'http://gulfnews.com/news/world/other-world/hundreds-dead-or-injured-in-china-earthquake-1.1172622'
 'http://au.news.yahoo.com/latest/a/-/latest/16818209/hundreds-dead-or-injured-in-china-quake/'
 'http://iafrica.com/articles/854468.html']",C,0.4723,['US' 'PK' 'MY' 'BG' 'CH' 'AE' 'SF' 'AS']
164252,2013-04-20-044338,"we have a basic grasp an injured child receives treatment at lushan people's hospital. the quake destroyed thousands of homes and triggered landslides. (mark ralston, afp/getty images) of the overall disaster situation, and there won't be thousands or tens of thousands of fatalities.",li keqiang,Q18111,2013-04-20 23:39:59,1,['http://denverpost.com/nationworld/ci_23071140/china-earthquake-kills-156-injures-more-than-5?source=rss'],C,0.5815,['US']
1825,2013-04-26-047596,"judging from the photos shown to me by the media, the roof, the slabs and the walls have not collapsed. the lushan school survived the quake.",song hong,Multiple,2013-04-26 03:55:27,2,"['http://scmp.com/news/china/article/1223230/hong-kong-funded-schools-survive-sichuan-earthquake'
 'http://constructionweekonline.com/article-22155-hong-kong-funded-schools-best-sichuan-earthquake/']",C,0.4362,['AE' 'CH']
4022,2014-08-05-015656,"Five seconds after the magnitude-7.0 Lushan earthquake in Sichuan on April 20, 2013, the system sent out the early warning. It was five seconds before seismic waves reached Ya'an (a city 33 km from Lushan county),",Wang Dun,Multiple,2014-08-05 02:48:07,1,['http://www.asiaone.com/news/asia/yunnan-quake-saved-seconds'],E,0.8714,['SN']
95870,2020-02-06-015090,"Chinese Premier Li Keqiang, also a member of the Standing Committee of the Political Bureau of the Communist Party of China Central Committee, presides over a meeting at the severely-hit Longmen Township in the quake-hit Lushan County, southwest China's Sichuan Province, April 20, 2013. Li Keqiang arrived in Sichuan Saturday afternoon to deploy quake relief work. (Xinhua/Huang Jingwen)",None,,2020-02-06 18:32:06,1,['http://dunyanews.tv/index.php/en/FakeNews/531430-Fake-photo-Chinese-PM-eating-coronavirus-hit-Wuhan-viral'],E,0.673,['PK']
