,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
58078,2017-11-14-091785,"Photo - In this photo provided by the Iranian Students News Agency, ISNA, a rescue worker searches debris for survivors with his sniffing dog after an earthquake at the city of Sarpol-e-Zahab in western Iran, Monday, Nov. 13, 2017. A powerful earthquake shook the Iran-Iraq border late Sunday, killing more than two hundreds people, Iranian state media said. (Pouria Pakizeh/ISNA via AP)",None,,2017-11-14 00:43:43,2,"['http://newsok.com/10-things-to-know-for-tuesday/article/feed/1511712?custom_click=rss&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed: newsok/home (NewsOK.com RSS - Home)'
 'http://newsok.com/10-things-to-know-for-tuesday/article/feed/1511712?custom_click=rss']",E,0.4549,['US']
12240,2017-12-01-097071,The earthquake was deep in the Iran-Iraq border... This one was a little larger than normal.,None,,2017-12-01 22:38:50,1,['http://sundial.csun.edu/2017/12/iran-earthquake-kills-scores-of-people/'],E,0.5448,['US']
47583,2017-11-15-011518,"At least 400 people are dead in earthquake on Iran-Iraq border,",None,,2017-11-15 20:43:00,1,['http://www.jpost.com/Opinion/November-16-2017-No-different-than-the-US-514370'],E,0.7862,['IS']
109423,2017-11-13-086233,Raw: Hundreds dead in Iran-Iraq earthquake,None,,2017-11-13 11:05:02,1,['http://www.onenewspage.com/n/World/75eiq094l/Raw-Hundreds-dead-in-Iran-Iraq-earthquake.htm'],E,0.7328,['US']
