,quoteID,quotation,speaker,qids,date,numOccurrences,urls,phase,speaker_prob,url_countries
76561,2009-10-08-037584,"if a large subduction earthquake occurred in the deep water regions such as south of nz or west of the solomon islands, it would impact the eastern coast of australia,",ted malone,Q7693485,2009-10-08 13:22:35,1,"['http://couriermail.news.com.au/story/0,20797,26183652-952,00.html?from=public_rss']",A,0.569,['AS']
151185,2009-04-05-052400,"we are very fortunate to receive contributions and overwhelming support from people in fiji during natural disasters. i'd like to thank the people of fiji for their support and contributions. despite the hard times, it's a good sign to see that some people still have that strong bond. fiji is vulnerable to earthquakes as we lie along the fault line that goes through new zealand, tonga, fiji, vanuatu, solomons, whole of indonesia, japan, philippines, alaska, west coast of america, central america and chile.",joeli cawaki,Q18217463,2009-04-05 02:24:46,1,['http://fijitimes.com/story.aspx?id=118516'],A,0.5799,['FJ']
89454,2010-01-06-006586,"australia is concerned for the welfare of all those affected by the earthquakes and will offer appropriate assistance to help the people of the solomon islands,",simon crean,Q1400580,2010-01-06 06:02:29,3,"['http://news.theage.com.au/breaking-news-national/govt-sending-aid-to-quakehit-solomons-20100106-ltzx.html'
 'http://au.news.yahoo.com/a/-/latest/6649759/govt-sending-aid-to-quake-hit-solomons/'
 'http://news.xinhuanet.com/english/2010-01/06/content_12764991.htm']",A,0.7121,['US' 'CH' 'AS']
12377,2010-01-11-060580,"that is actually the best way to deal with tsunami threats because in this case of solomon islands there was a local tsunami that was generated but not a region-wide one and so that earthquake would not give any time for the national authority to issue any warnings,",rajendra prasad,Multiple,2010-01-11 19:42:46,1,['http://fijitimes.com/story.aspx?id=137227'],A,0.7982,['FJ']
196683,2011-03-24-068045,"the anzac spirit forged at gallipoli, has continued to develop and grow, and today australia remains our closest strategic partner. we work alongside the australian defence force in the solomon islands, timor leste, and afghanistan. our countries always support each others in times of need, with the australian defence force recently providing assistance during the christchurch earthquake,",hekia parata,Q16192869,2011-03-24 09:51:31,2,"['http://pacific.scoop.co.nz/2011/03/send-an-anzac-message-to-kiwi-forces-2/'
 'http://scoop.co.nz/stories/CU1103/S00472/send-an-anzac-message-to-kiwi-forces.htm']",C,0.3546,['NZ']
68011,2011-03-15-011230,deep regret that the government and people of solomon islands learnt of the earthquake and the devastating tsunami that struck the north-eastern part of japan on friday.,danny philip,Q561575,2011-03-15 07:27:30,1,['http://solomontimes.com/news.aspx?nwID=5969'],C,0.5327,['BP']
90701,2012-09-05-073038,"the geologists have been there on site last month. the results are so far promising and we now need togo back in and get experts to do some drilling work and some seismic work before we sign off on the concept and present it to the solomon islands government,",nigel hall,Multiple,2012-09-05 07:55:30,1,['http://solomontimes.com/news.aspx?nwID=7213'],C,0.7382,['BP']
167853,2013-02-06-085790,"this part of the solomon islands is in a particularly active part of the boundary between the australian and pacific plates, and has seen a swarm of earthquakes recently. in geological terms, this is hot on the heels of the 2007 event that occurred in the western province and killed 52 people-an area of different plate boundaries and different activity, but in reality we know very little about the long-term earthquake and tsunami activity of the entire solomon islands region and so cannot say with any confidence whether this type of event we have seen today is out of the ordinary or how often we might expect it to happen in the future. much work needs to be done to improve our understanding of such events in the solomon islands for the safety of both local and regional communities.",richard arculus,Q52424246,2013-02-06 05:25:39,2,"['http://sciencemediacentre.co.nz/2013/02/06/solomon-islands-earthquake-and-tsunami-experts-respond/'
 'http://sciencemediacentre.co.nz/2013/02/07/solomon-islands-earthquake-and-tsunami-experts-respond-2/']",C,0.5156,['NZ']
217595,2013-02-06-071765,"the earthquake epicentre was at the junction of a complex transform fault running north-eastwards from the southern end of the solomons trench to the northern end of the new hebrides trench, about 70 km west of the island of ndende. the active subaerial volcano of tinakula is located about 90 km northeast of the epicentre. a research voyage in 2002 of the australian marine national facility discovered several active submarine volcanoes located north of the transform fault and west of tinakula, and some others to the east of nendo. a number of these volcanoes are associated with mineralising hydrothermal systems that have been the target of submarine mineral exploration companies in the past few years. ndende is located about 125 km northwest of vanikoro, known to the island where la perouse, renowned french explorer, ran aground and likely perished in 1788.",richard arculus,Q52424246,2013-02-06 05:25:39,2,"['http://sciencemediacentre.co.nz/2013/02/06/solomon-islands-earthquake-and-tsunami-experts-respond/'
 'http://sciencemediacentre.co.nz/2013/02/07/solomon-islands-earthquake-and-tsunami-experts-respond-2/']",C,0.4376,['NZ']
78840,2013-02-12-066354,"the earth is a dynamic planet and susceptible to behaving in a more elastic fashion that one might think. an earthquake has the same effect on the earth as a pebble does when dropped into a pool. the ripple effect of last week's earthquakes in the solomon islands were also felt in ireland, for example.",tom blake,Q19873555,2013-02-12 07:52:04,4,"['http://pacific.scoop.co.nz/2013/02/irish-seismometers-record-north-korea-nuclear-test/'
 'http://siliconrepublic.com/innovation/item/31442-irish-seismometers-pick-up'
 'http://sociable.co/technology/seismic-activity-from-north-koreas-latest-nuclear-test-recorded-in-ireland/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+thesociable+%28The+Sociable%29'
 'http://scoop.co.nz/stories/WO1302/S00143/irish-seismometers-record-north-korea-nuclear-test.htm']",C,0.5579,['US' 'EI' 'NZ']
